{'loss': 0.10907099395990372, 'tf_losses_rmse': 0.2562271058559418}
{'loss': 0.12976126372814178, 'tf_losses_rmse': 0.26044774055480957}
{'loss': 0.09624940156936646, 'tf_losses_rmse': 0.23250050842761993}
{'loss': 0.15071438252925873, 'tf_losses_rmse': 0.2727656960487366}
{'loss': 0.2997589111328125, 'tf_losses_rmse': 0.30161386728286743}
{'loss': 0.04425080493092537, 'tf_losses_rmse': 0.17721006274223328}
{'loss': 0.06323709338903427, 'tf_losses_rmse': 0.22603175044059753}
{'loss': 0.053019504994153976, 'tf_losses_rmse': 0.20188643038272858}
{'loss': 0.06744474917650223, 'tf_losses_rmse': 0.2103525847196579}
{'loss': 0.08354702591896057, 'tf_losses_rmse': 0.232942596077919}

average score -> {'loss': 0.10970541313290597, 'tf_losses_rmse': 0.23719783425331115}
