,target_shift1,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
target_shift1,0.0,0.02,0.062,0.118,0.04,0.055,0.055,0.186,0.167,0.101,0.279,0.311,0.232,0.201,0.333,0.372,0.32,0.407,0.501,0.554,0.461,0.217,0.484,0.536,0.235,0.303,0.312,0.285,0.287,0.381,0.396,0.353,0.021,0.114
close,0.02,0.0,0.049,0.106,0.024,0.055,0.053,0.189,0.17,0.104,0.291,0.317,0.23,0.202,0.347,0.377,0.329,0.399,0.494,0.55,0.45,0.224,0.475,0.537,0.242,0.308,0.315,0.292,0.294,0.389,0.404,0.363,0.024,0.118
close_mv10,0.062,0.049,0.0,0.035,0.016,0.042,0.039,0.139,0.111,0.071,0.271,0.358,0.172,0.134,0.347,0.371,0.268,0.4,0.463,0.526,0.431,0.227,0.488,0.525,0.237,0.337,0.349,0.31,0.28,0.418,0.448,0.374,0.009,0.072
close_mv20,0.118,0.106,0.035,0.0,0.071,0.021,0.021,0.125,0.108,0.05,0.192,0.326,0.114,0.095,0.275,0.332,0.202,0.397,0.441,0.483,0.422,0.218,0.49,0.5,0.228,0.344,0.375,0.305,0.267,0.415,0.47,0.362,0.007,0.048
close_mv5,0.04,0.024,0.016,0.071,0.0,0.054,0.045,0.17,0.135,0.081,0.299,0.338,0.193,0.161,0.366,0.38,0.312,0.401,0.48,0.543,0.438,0.23,0.48,0.534,0.238,0.324,0.332,0.307,0.285,0.407,0.427,0.376,0.01,0.102
dayofmonth_freq_cos,0.055,0.055,0.042,0.021,0.054,0.0,0.0,0.08,0.068,0.061,0.128,0.035,0.12,0.06,0.108,0.051,0.082,0.0,0.0,0.0,0.0,0.112,0.04,0.036,0.098,0.07,0.02,0.101,0.098,0.076,0.022,0.106,0.0,0.0
dayofmonth_freq_sin,0.055,0.053,0.039,0.021,0.045,0.0,0.0,0.124,0.137,0.096,0.1,0.032,0.117,0.071,0.104,0.053,0.121,0.0,0.0,0.0,0.0,0.065,0.06,0.034,0.062,0.085,0.023,0.089,0.067,0.082,0.025,0.088,0.0,0.0
fast_d,0.186,0.189,0.139,0.125,0.17,0.08,0.124,0.0,0.018,0.098,0.2,0.203,0.171,0.187,0.31,0.334,0.291,0.126,0.132,0.145,0.127,0.175,0.192,0.137,0.14,0.221,0.241,0.2,0.149,0.234,0.27,0.211,0.017,0.136
fast_k,0.167,0.17,0.111,0.108,0.135,0.068,0.137,0.018,0.0,0.138,0.192,0.21,0.18,0.191,0.246,0.284,0.247,0.117,0.119,0.132,0.113,0.178,0.174,0.114,0.167,0.2,0.217,0.192,0.175,0.214,0.248,0.201,0.037,0.129
fore,0.101,0.104,0.071,0.05,0.081,0.061,0.096,0.098,0.138,0.0,0.066,0.043,0.099,0.199,0.121,0.085,0.182,0.071,0.056,0.058,0.059,0.15,0.075,0.085,0.277,0.135,0.065,0.178,0.291,0.147,0.082,0.192,0.059,0.076
