,target_shift3,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
target_shift3,1.0,0.902,0.829,0.732,0.87,0.035,0.001,0.164,0.139,0.006,-0.097,-0.119,-0.059,0.046,0.073,0.044,0.098,0.377,0.34,0.284,0.365,-0.053,0.494,0.391,0.329,0.413,0.424,0.385,0.255,0.321,0.328,0.297,0.006,0.018
close,0.902,1.0,0.906,0.803,0.957,0.045,0.027,0.169,0.148,0.011,-0.09,-0.112,-0.038,0.03,0.074,0.023,0.075,0.415,0.364,0.309,0.392,-0.026,0.576,0.437,0.366,0.46,0.474,0.441,0.282,0.356,0.368,0.341,0.002,-0.011
close_mv10,0.829,0.906,1.0,0.943,0.971,0.031,0.034,-0.107,-0.176,-0.089,-0.17,-0.182,-0.146,-0.047,-0.039,-0.057,-0.06,0.392,0.435,0.393,0.428,-0.066,0.565,0.54,0.22,0.436,0.51,0.341,0.148,0.322,0.389,0.244,0.011,0.014
close_mv20,0.732,0.803,0.943,1.0,0.876,0.038,0.022,-0.333,-0.332,-0.106,-0.259,-0.279,-0.2,-0.025,-0.072,-0.114,-0.047,0.375,0.461,0.473,0.425,-0.131,0.538,0.608,0.116,0.286,0.439,0.197,0.052,0.182,0.312,0.111,0.012,0.039
close_mv5,0.87,0.957,0.971,0.876,1.0,0.042,0.036,0.058,-0.03,-0.069,-0.124,-0.141,-0.092,-0.049,0.027,-0.018,-0.011,0.403,0.4,0.346,0.422,-0.043,0.575,0.489,0.28,0.47,0.504,0.42,0.203,0.358,0.39,0.317,0.01,0.01
dayofmonth_freq_cos,0.035,0.045,0.031,0.038,0.042,1.0,-0.011,0.048,0.063,0.001,0.103,-0.004,0.067,0.038,-0.044,0.017,0.014,0.177,0.141,0.08,0.199,-0.065,0.044,0.044,-0.032,-0.073,0.007,-0.081,-0.032,-0.075,-0.001,-0.079,-0.005,-0.103
dayofmonth_freq_sin,0.001,0.027,0.034,0.022,0.036,-0.011,1.0,0.048,0.013,-0.084,-0.02,-0.005,-0.102,0.033,0.067,0.016,0.084,-0.038,0.09,0.038,0.036,-0.056,0.035,0.023,0.079,-0.009,0.005,0.057,0.072,-0.009,-0.0,0.053,-0.005,0.156
fast_d,0.164,0.169,-0.107,-0.333,0.058,0.048,0.048,1.0,0.899,0.126,0.331,0.309,0.275,0.073,0.281,0.228,0.227,0.046,-0.156,-0.272,-0.045,0.159,0.03,-0.281,0.246,0.181,0.019,0.267,0.235,0.19,0.061,0.259,-0.006,-0.073
fast_k,0.139,0.148,-0.176,-0.332,-0.03,0.063,0.013,0.899,1.0,0.246,0.299,0.254,0.299,0.216,0.279,0.205,0.295,0.058,-0.161,-0.235,-0.068,0.114,0.019,-0.262,0.207,0.081,-0.046,0.172,0.196,0.098,-0.005,0.172,-0.017,-0.067
fore,0.006,0.011,-0.089,-0.106,-0.069,0.001,-0.084,0.126,0.246,1.0,0.304,0.208,0.476,0.155,0.005,0.022,0.028,0.001,-0.064,-0.078,-0.043,-0.006,0.014,-0.089,0.031,-0.014,-0.04,-0.037,0.029,0.001,-0.02,-0.025,0.014,-0.024
