target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
60700.0,2021-01-04,53500.0,43190.0,40812.5,45100.0,-0.7266603220339333,0.6869969260350008,64.21331305775588,86.60287081339713,8238.0,-17326.8,-9015.65,-71452.6,17271.0,-35073.6,-14872.15,36870.0,2944.0,2830.1,2794.25,2876.8,75.76404124326577,buy,19531772.0,4152173.3669516295,557735039000.0,229605626960.0,138707596365.0,223210242890.0,10424954.0,4999683.4,3120822.2,4672699.4,0,1
61500.0,2021-01-05,60700.0,44525.0,41897.5,48850.0,-0.8613126282322195,0.5080753452468506,68.23112625018383,76.20481927710844,-27840.0,-24547.9,-10157.35,-66210.6,-9183.0,-4081.0,-15222.75,25615.2,2991.0,2855.8,2808.75,2910.8,82.434419169953,buy,30313287.0,6274446.967174707,654437960500.0,220798491185.0,169851248240.0,338698208130.0,10781515.0,4509705.4,3619430.1,6461907.6,1,1
57500.0,2021-01-06,61500.0,46650.0,42960.0,52480.0,-0.9527751227229875,0.3036767451093285,71.70413351984129,78.6144578313253,11782.0,-38872.5,-9409.95,-43090.8,-13833.0,5363.0,-16147.2,14849.4,2968.0,2876.6,2819.4,2929.8,87.0246368555444,buy,35910998.0,8644397.910509111,344259226500.0,233055881085.0,184305386015.0,375462184020.0,5597711.0,4518705.5,3830773.45,6841245.2,2,1
53800.0,2021-01-07,57500.0,48430.0,43895.0,55310.0,-0.9964614941176245,0.08405052492918362,69.38476061209577,64.76190476190476,-7184.0,-38808.2,-9734.55,-23764.2,-13340.0,7452.8,-16487.4,4182.2,3032.0,2899.1,2833.7,2961.6,77.56128113497422,buy,33632064.0,10616362.59666148,131038705000.0,237533414015.0,189710071225.0,369582055610.0,2278934.0,4529310.8,3915151.85,6556827.4,3,1
55600.0,2021-01-08,53800.0,49840.0,44695.0,57400.0,-0.9901811253364696,-0.13979033953532904,63.45881415972046,51.633986928104584,12621.0,-36763.4,-9351.0,-476.6,-7779.0,10098.7,-16876.35,-5372.8,3152.0,2933.6,2852.8,3017.4,75.029625107007,buy,31671968.0,12257908.456743497,105453164800.0,239452392925.0,194170596465.0,358584819160.0,1960096.0,4508032.3,3991671.65,6208642.0,4,2
50000.0,2021-01-11,55600.0,51460.0,45575.0,57820.0,-0.6869969260348808,-0.7266603220340467,61.47597689726569,57.51633986928104,21957.0,-34592.7,-7972.5,2267.2,-1091.0,13912.4,-17041.55,-9045.2,3148.0,2967.5,2872.1,3058.2,65.83065016058174,buy,35549858.0,14053522.304895682,215610684000.0,256685095525.0,200881258465.0,290159948160.0,3877890.0,4785964.3,4078464.25,4899229.2,0,2
48300.0,2021-01-12,50000.0,52265.0,46110.0,55680.0,-0.5080753452467083,-0.8613126282323035,54.0508558929643,39.21568627450981,-28965.0,-32084.2,-9618.35,2042.2,-15452.0,7658.1,-18357.9,-10299.0,3126.0,2998.0,2890.55,3085.2,74.04452356744217,buy,34210384.0,15591414.750208892,66973700000.0,255682652095.0,198559786625.0,172667096060.0,1339474.0,4736364.3,4001159.15,3010821.0,1,2
51400.0,2021-01-13,48300.0,52760.0,46572.5,53040.0,-0.30367674510917114,-0.9527751227230377,47.250880080208134,33.66013071895425,7424.0,-20960.1,-9270.8,1170.6,10712.0,4729.7,-17240.9,-5390.0,3148.0,3025.5,2909.35,3121.2,74.5135840389248,buy,33401554.0,16937300.84497059,39066489000.0,243545366290.0,198640081730.0,111628548560.0,808830.0,4447145.0,3993635.75,2053044.8,2,2
48650.0,2021-01-14,51400.0,53565.0,47270.0,51820.0,-0.08405052492901906,-0.9964614941176384,45.365328112993886,41.59592529711375,6253.0,-9953.1,-8980.4,3858.0,27445.0,3474.6,-15868.65,2767.0,3150.0,3053.2,2928.35,3144.8,72.60718059219198,buy,34808723.0,18275901.95092274,72328486600.0,234734280245.0,200980659460.0,99886504880.0,1407169.0,4217759.6,4029926.2,1878691.8,3,2
47550.0,2021-01-15,48650.0,54095.0,47867.5,50790.0,0.13979033953549258,-0.9901811253364465,40.44546426334589,30.60869565217391,-21070.0,-1678.4,-10114.05,-2880.2,-6013.0,-1126.3,-22802.9,3120.2,3086.0,3074.5,2944.05,3131.6,74.48378389685266,buy,34059945.0,19448498.224068917,36428049700.0,222333150510.0,199253179285.0,86081481860.0,748778.0,3922535.1,3970665.3,1636428.2,4,3
44850.0,2021-01-18,47550.0,53500.0,48345.0,49180.0,0.7266603220341602,-0.6869969260347608,33.91765757202777,20.86466165413534,-35.0,-2505.7,-9916.25,-7278.6,4768.0,-2376.6,-18725.1,4292.0,3014.0,3081.5,2955.8,3104.8,72.74337066311229,buy,33354641.0,20473769.354751546,33537205200.0,169913367130.0,199759497045.0,49666786100.0,705304.0,2950570.1,3975126.75,1001911.0,0,3
44700.0,2021-01-19,44850.0,51915.0,48220.0,48150.0,0.8613126282323873,-0.5080753452465661,26.182511047521803,10.714285714285714,6606.0,938.9,-11804.5,-164.4,-20195.0,-3477.8,-3779.4,3343.4,3093.0,3091.7,2973.75,3098.2,70.07872358673198,buy,32384160.0,21345740.591558643,43526072850.0,108822178365.0,164810334775.0,44977260670.0,970481.0,1969466.7,3239586.05,928112.4,1,3
46750.0,2021-01-20,44700.0,50235.0,48442.5,47430.0,0.9527751227228116,-0.30367674510988035,20.838148539438553,10.150375939849624,-8496.0,-1088.9,-19980.7,-3348.4,-2262.0,-2320.7,1521.15,748.6,3115.0,3106.4,2991.5,3091.6,68.65422715646832,buy,31750940.0,22102562.449005906,28304934000.0,77226749115.0,155141315100.0,42824949670.0,633220.0,1473017.6,2995861.55,892990.4,2,3
45050.0,2021-01-21,46750.0,49160.0,48795.0,46500.0,0.9964614941175759,-0.08405052492976078,18.033604526847547,12.424849699398797,7730.0,402.5,-19202.85,-3053.0,35396.0,2552.9,5002.85,2338.8,3161.0,3119.3,3009.2,3093.8,65.63761794541452,buy,32622931.0,22863145.681398448,40765579250.0,68199436540.0,152866425277.5,36512368200.0,871991.0,1332323.3,2930817.05,785954.8,3,3
45650.0,2021-01-22,45050.0,48285.0,49062.5,45780.0,0.9901811253364234,0.1397903395356561,13.892701173805094,5.61122244488978,-9519.0,-1811.5,-19287.45,-742.8,-4783.0,2852.5,6475.6,2584.8,3141.0,3118.2,3025.9,3104.8,56.377664502252024,buy,32197272.0,23534190.34034248,19175937950.0,59571713855.0,149512053390.0,33061945850.0,425659.0,1178879.6,2843455.95,721331.0,4,4
50600.0,2021-01-25,45650.0,47290.0,49375.0,45400.0,0.6869969260353017,0.7266603220336488,12.179349035838385,8.752735229759299,-362.0,-4043.4,-19318.05,-808.2,400.0,3001.6,8457.0,1711.2,3209.0,3124.3,3045.9,3143.8,30.974811188103175,sell,32559577.0,24179666.70330158,16539223250.0,39664567780.0,148174831652.5,29662349460.0,362305.0,827321.1,2806642.7,652731.2,0,4
48500.0,2021-01-26,50600.0,47350.0,49807.5,46550.0,0.5080753452464238,0.8613126282324712,19.96961480884338,35.54987212276215,34768.0,2329.9,-14877.15,4824.2,68408.0,11387.6,9522.85,19431.8,3140.0,3125.7,3061.85,3153.2,42.94733273379474,sell,37032699.0,25094450.306491155,226339973200.0,55601195100.0,155641923597.5,66225129530.0,4473122.0,1140685.9,2938525.1,1353259.4,1,4
44950.0,2021-01-27,48500.0,47370.0,50065.0,47310.0,0.30367674510972303,0.9527751227228618,22.73972600279342,28.279883381924197,-25854.0,-997.9,-10979.0,1352.6,-32091.0,7107.3,5918.5,13466.0,3123.0,3123.2,3074.35,3154.8,62.575870374197294,buy,35701301.0,25845981.006423406,64572803000.0,58151826500.0,150848596395.0,73478703330.0,1331398.0,1192942.7,2820043.85,1492895.0,2,4
42750.0,2021-01-28,44950.0,46725.0,50145.0,46950.0,0.08405052492959622,0.9964614941175898,18.09764623365302,8.813559322033898,-4853.0,-2108.5,-6030.8,-1164.0,0.0,4362.8,3918.7,6386.8,3069.0,3115.1,3084.15,3136.4,65.48217579643936,buy,35021789.0,26493407.009518467,30544064400.0,53973384280.0,144353832262.5,71434400360.0,679512.0,1120177.0,2668968.3,1454399.2,3,4
43950.0,2021-01-29,42750.0,46135.0,50115.0,46490.0,-0.13979033953491904,0.9901811253365276,15.084410684393065,9.057971014492754,1913.0,189.8,-744.3,1122.4,-11677.0,3796.4,1335.05,5008.0,2976.0,3104.1,3089.3,3103.4,52.59609690270217,buy,34417680.0,27050360.045503475,25825659750.0,52913145285.0,137623147897.5,72764344720.0,604109.0,1105710.1,2514122.6,1490089.2,4,5
43400.0,2021-02-01,43950.0,45775.0,49637.5,46150.0,-0.7266603220337622,0.6869969260351817,16.58961061171124,19.6,-3097.0,-116.4,-1311.05,575.4,20542.0,5373.8,1498.6,9036.4,3057.0,3108.4,3094.95,3073.0,55.91926237874499,buy,34878842.0,27598597.069235276,20268069900.0,51586231755.0,110749799442.5,73510114050.0,461162.0,1081295.9,2015933.0,1509860.6,0,1
42500.0,2021-02-02,43400.0,45630.0,48772.5,44710.0,-0.8613126282325552,0.5080753452462816,16.126406358724765,15.2,-2339.0,-1010.9,-36.0,-6846.0,6824.0,8075.7,2298.95,-3280.4,3097.0,3108.8,3100.25,3064.4,57.579616411785366,buy,34620487.0,28088698.681720097,11212607000.0,48354885170.0,78588531767.5,30484640810.0,258355.0,1010083.3,1489775.0,666907.2,1,1
41500.0,2021-02-03,42500.0,45410.0,47822.5,43510.0,-0.9527751227229119,0.30367674510956566,13.417601448695505,8.0,5021.0,340.8,-374.05,-671.0,4826.0,8784.5,3231.9,4103.0,3130.0,3110.3,3108.35,3065.8,51.45332110146746,buy,34376548.0,28526197.817529768,10367407500.0,46561132520.0,61893940817.5,19643561710.0,243939.0,971155.2,1222086.4,449415.4,2,1
40900.0,2021-02-04,41500.0,44885.0,47022.5,42820.0,-0.9964614941176037,0.08405052492943167,9.469999304604649,1.574803149606299,-4617.0,-893.9,-245.7,-623.8,3823.0,5627.2,4090.05,4867.6,3088.0,3103.0,3111.15,3069.6,53.84360309706159,buy,34077986.0,28911361.389331393,12390323000.0,43723606895.0,55961521717.5,16012813430.0,298562.0,913812.3,1123067.8,373225.4,3,1
41700.0,2021-02-05,40900.0,44470.0,46377.5,42450.0,-0.9901811253365045,-0.13979033953508258,7.0596004228734355,2.2388059701492535,-2389.0,-180.9,-996.2,-1484.2,250.0,6130.5,4491.5,7253.0,3121.0,3101.0,3109.6,3098.6,58.205257012577334,buy,33843738.0,29252627.59025735,9580743200.0,42764087420.0,51167900637.5,12763830120.0,234248.0,894671.2,1036775.4,299253.2,4,1
42150.0,2021-02-08,41700.0,44075.0,45682.5,42000.0,-0.6869969260350617,-0.7266603220338756,9.76387237170114,15.172413793103448,-2475.0,-392.2,-2217.8,-1359.8,0.0,6090.5,4546.05,3144.6,3091.0,3089.2,3106.75,3105.4,53.55537307761406,buy,34193537.0,29593624.060550753,14586618300.0,42568826925.0,41116697352.5,11627539800.0,349799.0,893420.6,860370.85,276980.6,0,2
41150.0,2021-02-09,42150.0,43230.0,45290.0,41750.0,-0.5080753452469228,-0.8613126282321769,12.601202848143132,18.275862068965516,3273.0,-3541.7,-605.9,-237.4,16465.0,896.2,6141.9,5072.8,3085.0,3083.7,3104.7,3103.0,57.92124214832718,buy,34432408.0,29926789.99144042,10068412650.0,20941670870.0,38271432985.0,11398700930.0,238871.0,469995.5,805340.7,273083.8,1,2
41150.0,2021-02-10,41150.0,42495.0,44932.5,41480.0,-0.30367674510940834,-0.952775122722962,12.193905291785352,11.379310344827587,-1452.0,-1101.5,-1049.7,-1532.0,-2628.0,3842.5,5474.9,3582.0,3101.0,3081.5,3102.35,3097.2,53.07005951640151,buy,34282036.0,30226008.5092908,6187807800.0,15103171350.0,36627498925.0,10562780990.0,150372.0,351892.9,772417.8,254370.4,2,2
41150.0,2021-02-11,41150.0,42115.0,44420.0,41410.0,-0.08405052492926711,-0.9964614941176175,11.922373618242723,11.379310344827587,-1452.0,-761.4,-1434.95,-899.0,-2628.0,3579.7,3971.25,2291.8,3101.0,3084.7,3099.9,3099.8,54.5951170794483,buy,34282036.0,30504103.51637321,6187807800.0,12667545690.0,33320464985.0,9322277950.0,150372.0,298978.9,709577.95,224732.4,3,2
41150.0,2021-02-12,41150.0,41955.0,44045.0,41460.0,0.13979033953524608,-0.9901811253364814,11.741352516190254,11.379310344827587,-1452.0,-1097.9,-454.05,-711.6,-2628.0,4484.6,4140.5,1716.2,3101.0,3097.2,3100.65,3095.8,57.24149621141564,buy,34282036.0,30762641.011290073,6187807800.0,10703760495.0,31808452890.0,8643690870.0,150372.0,253605.2,679657.65,207957.2,4,2
42950.0,2021-02-15,41150.0,41675.0,43725.0,41350.0,0.7266603220339891,-0.6869969260349418,11.620671787551991,11.379310344827587,-1025.0,-890.7,-503.55,-421.6,0.0,2430.4,3902.1,1716.2,3147.0,3106.2,3107.3,3107.0,17.041104603930776,sell,34282036.0,31003061.0518782,9051847800.0,9582138285.0,30584185020.0,7536736770.0,219972.0,229486.2,655391.05,181991.8,0,3
