target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
23300.0,2021-01-04,21900.0,20496.0,20001.0,21168.0,-0.7266603220339333,0.6869969260350008,93.43173597289429,97.98657718120806,29932.0,11915.8,13282.3,16656.0,-16086.0,5144.8,3000.75,-5973.6,2944.0,2830.1,2794.25,2876.8,50.39768268942903,buy,471317.0,221244.63387394173,1600014000.0,1126295030.0,1134966770.0,1055746668.0,73060.0,54600.9,56583.35,49684.8,0,1
24000.0,2021-01-05,23300.0,20896.0,20252.0,21640.0,-0.8613126282322195,0.5080753452468506,90.96038457147733,86.05577689243027,68166.0,19000.0,16635.8,26064.8,-10397.0,5161.7,2637.15,-5000.2,2991.0,2855.8,2808.75,2910.8,51.11352910745913,buy,612501.0,252984.60750027827,3289587200.0,1368060210.0,1260677906.0,1439722840.0,141184.0,64201.5,61521.75,64839.4,1,1
24200.0,2021-01-06,24000.0,21380.0,20502.0,22240.0,-0.9527751227229875,0.3036767451093285,88.89896076549623,84.7972972972973,41398.0,22705.5,17523.6,32196.0,-15647.0,3680.1,918.45,-8228.4,2968.0,2876.6,2819.4,2929.8,64.86611829525796,buy,722928.0,290564.64794205944,2650248000.0,1566287502.0,1311203406.0,1815838240.0,110427.0,71757.9,62728.0,79594.6,2,1
23460.0,2021-01-07,24200.0,21812.0,20740.0,22880.0,-0.9964614941176245,0.08405052492918362,88.65731389668797,88.17567567567568,2659.0,21884.7,16351.2,30579.4,12655.0,2757.0,1227.1,-5796.2,3032.0,2899.1,2833.7,2961.6,59.6404858312167,buy,828929.0,333051.02849234437,2565224200.0,1723056058.0,1353108248.0,2174948880.0,106001.0,77340.2,63585.85,93464.6,3,1
23960.0,2021-01-08,23460.0,22170.0,20936.0,23372.0,-0.9901811253364696,-0.13979033953532904,84.32350319461099,75.67567567567568,-6286.0,20169.4,15237.65,27173.8,5193.0,1087.7,1716.25,-4856.4,3152.0,2933.6,2852.8,3017.4,54.77143066594259,buy,701803.0,361799.822964409,2982375960.0,1921539790.0,1455232369.0,2617489872.0,127126.0,85035.0,67537.1,111559.6,4,2
24180.0,2021-01-11,23960.0,22476.0,21167.0,23784.0,-0.6869969260348808,-0.7266603220340467,84.25614096703345,84.12162162162163,14189.0,20340.6,15747.15,24025.2,1733.0,-3633.1,2032.45,-1292.6,3148.0,2967.5,2872.1,3058.2,63.23332313898604,buy,813943.0,396656.26761387323,2686874400.0,1945304310.0,1549913617.0,2834861952.0,112140.0,84530.2,71093.3,119375.6,0,2
24520.0,2021-01-12,24180.0,22800.0,21403.0,23960.0,-0.5080753452467083,-0.8613126282323035,85.26449358370476,87.27915194346289,26730.0,20901.4,16518.85,15738.0,-10869.0,-3193.6,1760.95,-1387.0,3126.0,2998.0,2890.55,3085.2,57.9219745250002,buy,893226.0,434542.66340103623,1917062940.0,2000039970.0,1612270266.0,2560357100.0,79283.0,85917.4,73336.15,106995.4,1,2
23600.0,2021-01-13,24520.0,23152.0,21631.0,24064.0,-0.30367674510917114,-0.9527751227230377,87.93960880861854,93.28621908127208,19839.0,21811.1,15891.1,11426.2,-4150.0,-3658.0,1485.75,912.4,3148.0,3025.5,2909.35,3121.2,51.78338502974757,buy,966812.0,474765.47630268056,1804328720.0,2103505742.0,1633510930.0,2391173244.0,73586.0,89610.9,73559.75,99627.2,2,2
24000.0,2021-01-14,23600.0,23412.0,21797.0,23944.0,-0.08405052492901906,-0.9964614941176384,83.32621371141107,74.10358565737052,-7647.0,19972.2,14659.0,9365.0,-3507.0,-4058.1,1152.95,-2320.0,3150.0,3053.2,2928.35,3144.8,46.27012192531312,sell,830814.0,501434.1400195036,3209552800.0,2347493922.0,1725702768.0,2520038964.0,135998.0,99545.6,76992.5,105626.6,3,2
25280.0,2021-01-15,24000.0,23712.0,22016.0,24052.0,0.13979033953549258,-0.9901811253364465,82.63400369601389,81.25,25498.0,21447.8,16453.6,15721.8,-14964.0,-5603.9,694.1,-6351.4,3086.0,3074.5,2944.05,3131.6,47.977402960719225,sell,900817.0,531104.2854768788,1680072000.0,2438534022.0,1750841463.0,2259578172.0,70003.0,102880.8,77492.4,94202.0,4,3
27140.0,2021-01-18,25280.0,24050.0,22273.0,24316.0,0.7266603220341602,-0.6869969260347608,85.05074830678066,89.88326848249028,-3114.0,18143.2,15029.5,12261.2,22534.0,-1741.9,1701.45,-2191.2,3014.0,3081.5,2955.8,3104.8,47.39705626881973,sell,1045245.0,569010.8164396891,3651139840.0,2643646606.0,1884970818.0,2452431260.0,144428.0,110017.6,82309.25,100659.6,0,3
29100.0,2021-01-19,27140.0,24434.0,22665.0,24908.0,0.8613126282323873,-0.5080753452465661,83.04178327741803,79.02439024390245,19513.0,13277.9,16138.95,10817.8,8087.0,106.5,2634.1,1600.0,3093.0,3091.7,2973.75,3098.2,55.095287970267904,buy,1179882.0,613733.2875428011,3654048180.0,2680092704.0,2024076457.0,2799828308.0,134637.0,109362.9,86782.2,111730.4,1,3
27940.0,2021-01-20,29100.0,24944.0,23162.0,25824.0,0.9527751227228116,-0.30367674510988035,82.41243351750941,81.15384615384616,28150.0,11953.1,17329.3,12480.0,7671.0,2438.3,3059.2,3964.2,3115.0,3106.4,2991.5,3091.6,59.079093219414965,buy,1360128.0,668022.2838894161,5245158600.0,2939583764.0,2252935633.0,3487994284.0,180246.0,116344.8,94051.35,133062.4,2,3
23660.0,2021-01-21,27940.0,25318.0,23565.0,26692.0,0.9964614941175759,-0.08405052492976078,78.0395694340365,69.2943607912607,3399.0,12027.1,16955.9,14689.2,-12221.0,-49.3,1353.85,2221.4,3161.0,3119.3,3009.2,3093.8,64.05032385993265,buy,1223832.0,708205.2440609611,3808110240.0,3063872368.0,2393464213.0,3607705772.0,136296.0,119374.3,98357.25,133122.0,3,3
23860.0,2021-01-22,23660.0,25338.0,23754.0,26624.0,0.9901811253364234,0.1397903395356561,59.33952867176596,21.940928270042196,-72317.0,5424.0,12796.7,-4873.8,5994.0,30.8,559.25,6413.0,3141.0,3118.2,3025.9,3104.8,56.239368503013964,buy,980894.0,727809.2570109807,5747913080.0,3340426080.0,2630982935.0,4421273988.0,242938.0,130955.5,107995.25,167709.0,4,4
23840.0,2021-01-25,23860.0,25328.0,23902.0,26340.0,0.6869969260353017,0.7266603220336488,43.766531422797165,12.62135922330097,-17016.0,2303.5,11322.05,-7654.2,6479.0,505.4,-1563.85,3202.0,3209.0,3124.3,3045.9,3143.8,59.20762232030797,buy,1082515.0,753177.0535984284,2424677060.0,3314206346.0,2629755328.0,4175981432.0,101621.0,129903.6,107216.9,159147.6,0,4
22940.0,2021-01-26,23840.0,25294.0,24047.0,25680.0,0.5080753452464238,0.8613126282324712,32.725412844590245,10.643564356435643,-3959.0,-765.4,10068.0,-12348.6,-7070.0,885.3,-1154.15,170.6,3140.0,3125.7,3061.85,3153.2,59.51057348641685,buy,994436.0,770348.0777736063,2099803360.0,3332480388.0,2666260179.0,3865132468.0,88079.0,130783.2,108350.3,149836.0,1,4
21900.0,2021-01-27,22940.0,25136.0,24144.0,24448.0,0.30367674510972303,0.9527751227228618,23.004514309335743,3.5629453681710213,-2003.0,-2949.6,9430.75,-18379.2,-5840.0,716.3,-1470.85,-2531.6,3123.0,3123.2,3074.35,3154.8,60.12654633727156,buy,905093.0,779895.2043090151,2049528420.0,3357000358.0,2730253050.0,3226006432.0,89343.0,132358.9,110984.9,131655.4,2,4
