target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
162500.0,2021-01-04,151000.0,141950.0,141175.0,145700.0,-0.7266603220339333,0.6869969260350008,76.72546553021608,91.8918918918919,4533.0,15907.7,10820.3,8441.6,-2008.0,456.2,-6390.7,5674.0,2944.0,2830.1,2794.25,2876.8,61.73277271198666,buy,-397408.0,-774320.3134310907,54377214000.0,39823478550.0,48463743675.0,40611694800.0,360114.0,280302.5,342145.3,278156.0,0,1
161500.0,2021-01-05,162500.0,144400.0,142325.0,149700.0,-0.8613126282322195,0.5080753452468506,80.3999599858847,87.6923076923077,95542.0,25573.9,13931.15,21110.0,41235.0,4332.0,-4825.05,5869.0,2991.0,2855.8,2808.75,2910.8,56.987579465978314,buy,508591.0,-670246.4253652996,147224837500.0,51316569100.0,54315525800.0,61332128300.0,905999.0,347501.0,376624.75,398131.0,1,1
172000.0,2021-01-06,161500.0,146700.0,143325.0,153000.0,-0.9527751227229875,0.3036767451093285,79.78835446740766,78.57142857142857,43283.0,25983.0,14306.6,29401.6,20972.0,14332.5,-3360.5,10722.2,2968.0,2876.6,2819.4,2929.8,75.8152135489241,buy,-121176.0,-626338.820492174,101707370500.0,57509073700.0,57761284300.0,74669696400.0,629767.0,381754.0,396525.75,475781.6,2,1
167500.0,2021-01-07,172000.0,150050.0,144975.0,158400.0,-0.9964614941176245,0.08405052492918362,85.27227024970456,96.20253164556962,30144.0,23925.3,16511.5,35065.4,62179.0,18318.8,1944.95,23816.8,3032.0,2899.1,2833.7,2961.6,69.94575325467912,buy,409102.0,-544624.3968521868,91207816000.0,62555323800.0,60386398950.0,85907353600.0,530278.0,405362.8,409116.8,533534.4,3,1
159500.0,2021-01-08,167500.0,152950.0,146325.0,162900.0,-0.9901811253364696,-0.13979033953532904,84.08214062462703,81.70731707317073,-16398.0,17213.4,15561.6,31420.8,-113792.0,4708.0,-3728.1,1717.2,3152.0,2933.6,2852.8,3017.4,64.57743992928405,buy,-93704.0,-509469.5534506343,84220005000.0,66902792800.0,61261191575.0,95747448600.0,502806.0,426224.4,410511.85,585792.8,4,2
160500.0,2021-01-11,159500.0,155150.0,147400.0,164600.0,-0.6869969260348808,-0.7266603220340467,76.77905539975738,62.19512195121951,60211.0,25499.0,19522.0,42556.4,-129471.0,-9050.7,-7642.5,-23775.4,3148.0,2967.5,2872.1,3058.2,60.27554403642757,buy,-618136.0,-517846.8245713345,83646904000.0,71106540700.0,63799508275.0,101601386600.0,524432.0,448406.2,424820.2,618656.4,0,2
162500.0,2021-01-12,160500.0,156950.0,148675.0,164200.0,-0.5080753452467083,-0.8613126282323035,72.72801128392344,64.63414634146342,-43385.0,17940.5,17267.05,14771.0,-11604.0,-14237.1,-3811.45,-34343.2,3126.0,2998.0,2890.55,3085.2,52.27768493962115,buy,-195689.0,-493267.3988600827,67802743500.0,73524548050.0,64080170200.0,85716967800.0,422447.0,460038.5,422909.4,521946.0,1,2
172000.0,2021-01-13,162500.0,158700.0,149450.0,164400.0,-0.30367674510917114,-0.9527751227230377,71.65558880100195,69.51219512195121,34353.0,21193.3,11867.25,12985.0,9679.0,-12939.8,-9694.55,-36601.8,3148.0,3025.5,2909.35,3121.2,45.86934108083529,sell,13115.0,-455000.8238659624,33930650000.0,73415660050.0,59443104800.0,72161623700.0,208804.0,456767.5,390263.9,437753.4,2,2
167000.0,2021-01-14,172000.0,161400.0,150925.0,164400.0,-0.08405052492901906,-0.9964614941176384,78.66680995223126,92.6829268292683,60820.0,27092.8,23160.35,19120.2,60158.0,-6594.6,-4312.4,-37006.0,3150.0,3053.2,2928.35,3144.8,41.43253868776275,sell,476738.0,-385211.93917250045,79743156000.0,77888022650.0,58559170850.0,69868691700.0,463623.0,478978.4,379261.95,424422.4,3,2
160500.0,2021-01-15,167000.0,163600.0,152250.0,164300.0,0.13979033953549258,-0.9901811253364465,78.69454552874268,78.75,-46644.0,22245.9,20685.3,13071.0,2664.0,-5998.8,-3413.6,-13714.8,3086.0,3074.5,2944.05,3131.6,43.889987490219944,sell,172552.0,-343775.66620141006,50799062000.0,79465975850.0,58611241275.0,63184503100.0,304186.0,485245.6,376763.9,384698.4,4,3
165000.0,2021-01-18,160500.0,164550.0,153250.0,164500.0,0.7266603220341602,-0.6869969260347608,70.86994473740693,55.223880597014926,-59147.0,15877.9,15892.8,-10800.6,-14619.0,-7259.9,-3401.85,9255.6,3014.0,3081.5,2955.8,3104.8,38.668472470803394,sell,-164297.0,-330543.07554023666,54064264500.0,79434680900.0,59629079725.0,57267975200.0,336849.0,482919.1,381610.8,347181.8,0,3
172000.0,2021-01-19,165000.0,164800.0,154600.0,165400.0,0.8613126282323873,-0.5080753452465661,70.13213622197001,68.65671641791045,-5530.0,5770.7,15672.3,-3229.6,16952.0,-9688.2,-2678.1,14966.8,3093.0,3091.7,2973.75,3098.2,43.81930402100445,sell,56619.0,-302198.5649436592,36451140000.0,68357311150.0,59836940125.0,50997654500.0,220916.0,414410.8,380955.9,306875.6,1,3
186000.0,2021-01-20,172000.0,165850.0,156275.0,167300.0,0.9527751227228116,-0.30367674510988035,76.6058883115088,89.55223880597015,56365.0,7078.9,16530.95,1172.8,-7104.0,-12495.8,918.35,11610.2,3115.0,3106.4,2991.5,3091.6,39.94913411454092,sell,341800.0,-255357.3492223508,49051132000.0,63091687300.0,60300380500.0,54021750900.0,285181.0,379952.2,380853.1,322151.0,2,3
