target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
83900.0,2021-01-04,83000.0,78480.0,75870.0,80860.0,-0.7266603220339333,0.6869969260350008,90.99234301479329,88.70967741935483,-4625732.0,-1114021.0,-1762921.35,-1753011.6,-3986032.0,440544.6,47698.35,-1307591.4,2944.0,2830.1,2794.25,2876.8,67.40016398433406,buy,180716112.0,110044093.06728719,3208387908000.0,2355788158690.0,2018350832235.0,2546480013540.0,38655276.0,29805400.8,26383085.35,31449397.6,0,1
82200.0,2021-01-05,83900.0,79640.0,76480.0,81980.0,-0.8613126282322195,0.5080753452468506,92.65937491683084,95.96774193548387,-5193705.0,-1565589.2,-1848361.05,-2157124.0,-2477973.0,261896.3,-35690.4,-569881.4,2991.0,2855.8,2808.75,2910.8,74.24641965625892,buy,216051781.0,118643777.34204519,2964662629100.0,2534369922300.0,2076957751960.0,2664296768020.0,35335669.0,31708476.7,26899851.9,32448641.6,1,1
82900.0,2021-01-06,82200.0,80470.0,76895.0,82220.0,-0.9527751227229875,0.3036767451093285,88.96024528932467,81.6,-7004876.0,-2304226.5,-2181717.7,-3493687.0,-5326921.0,-453245.4,-342654.6,-1876238.8,2968.0,2876.6,2819.4,2929.8,65.17498319289581,buy,173962768.0,123067480.15243353,3459716868600.0,2736891910020.0,2160975400170.0,2879677921540.0,42089013.0,33976245.4,27800402.75,34982960.0,2,1
88800.0,2021-01-07,82900.0,80980.0,77395.0,82600.0,-0.9964614941176245,0.08405052492918362,88.37215385969859,87.2,-2365854.0,-2555754.2,-1889375.35,-3902445.6,2989615.0,-524921.1,-133635.9,-1519289.0,3032.0,2899.1,2833.7,2961.6,71.74616430961372,buy,206607410.0,129660244.3967233,2706240821800.0,2754643663600.0,2150914168700.0,2944363865700.0,32644642.0,33990422.6,27438488.45,35628404.2,3,1
91000.0,2021-01-08,88800.0,82080.0,78165.0,84160.0,-0.9901811253364696,-0.13979033953532904,90.01596830858733,93.29608938547486,7051913.0,-1865505.2,-1436089.9,-2427650.8,-5082378.0,-1403796.1,-388889.9,-2776737.8,3152.0,2933.6,2852.8,3017.4,64.46267564988597,buy,265620717.0,140260051.27291578,5240381661600.0,3025809501160.0,2345087165540.0,3515877977820.0,59013307.0,36641466.3,29464820.2,41547581.4,4,2
90600.0,2021-01-11,91000.0,83310.0,79025.0,85760.0,-0.6869969260348808,-0.7266603220340467,85.44818629730773,76.32653061224491,-5466898.0,-2174447.8,-1702959.2,-2595884.0,-13590286.0,-3002590.0,-964565.95,-4697588.6,3148.0,2967.5,2872.1,3058.2,71.56642576088598,buy,355926894.0,156886155.01184174,8217862107000.0,3532126415580.0,2676606839540.0,4517772817620.0,90306177.0,41663579.6,32904608.3,51877761.6,0,2
89700.0,2021-01-12,90600.0,84540.0,79865.0,87100.0,-0.5080753452467083,-0.8613126282323035,81.231610277667,72.80701754385966,-2437514.0,-2100884.9,-1758388.2,-2044645.8,-5885518.0,-2974489.5,-1224103.8,-5379097.6,3126.0,2998.0,2890.55,3085.2,76.09990588292682,buy,307244478.0,168357927.37954196,4410626889600.0,3735631218870.0,2820151238030.0,4806965669720.0,48682416.0,43497876.3,34295545.55,54547111.0,1,2
89700.0,2021-01-13,89700.0,85410.0,80660.0,88600.0,-0.30367674510917114,-0.9527751227230377,77.10576208485053,68.85964912280701,-2890318.0,-2357710.6,-1796121.65,-1221734.2,-1794818.0,-3274457.9,-1350128.45,-4672677.0,3148.0,3025.5,2909.35,3121.2,67.42628513521936,buy,271175630.0,176127710.3279735,3235375665600.0,3820887675330.0,2917300442420.0,4762097429120.0,36068848.0,44163019.0,35223383.9,53343078.0,2,2
88000.0,2021-01-14,89700.0,86280.0,81480.0,89960.0,-0.08405052492901906,-0.9964614941176384,72.59906729419694,63.589743589743584,2743307.0,-2051173.8,-1482327.6,-199902.0,-5859292.0,-3980873.7,-1657904.1,-6442458.4,3150.0,3053.2,2928.35,3144.8,60.905249567399444,buy,271175630.0,183246967.50223368,2367539109000.0,3819360476130.0,2946642768560.0,4694357086560.0,26393970.0,43860673.9,35328421.7,52092943.6,3,2
85000.0,2021-01-15,88000.0,86980.0,82230.0,89800.0,0.13979033953549258,-0.9901811253364465,66.68879156052922,54.871794871794876,-2768502.0,-2295817.9,-1570778.05,-2163985.0,-5006115.0,-4601971.8,-1877045.9,-6427205.8,3086.0,3074.5,2944.05,3131.6,54.98958041423713,buy,237743821.0,187295537.76468047,2941999192000.0,3875279285230.0,3029455172310.0,4234680592640.0,33431809.0,44262112.7,36119360.7,46976644.0,4,3
