target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
23500.0,2021-01-04,23700.0,21610.0,21887.5,22930.0,-0.7266603220339333,0.6869969260350008,78.56441040218145,100.0,-4756.0,2513.0,1326.1,1558.4,733.0,256.4,-1903.95,-64.0,2944.0,2830.1,2794.25,2876.8,68.86675510589266,buy,-1000087.0,-1125828.0579587133,5345369100.0,4736678965.0,4264499165.0,5774707710.0,225543.0,218025.8,195513.65,253183.8,0,1
23950.0,2021-01-05,23500.0,21880.0,21910.0,23180.0,-0.8613126282322195,0.5080753452468506,83.16916466216792,92.3076923076923,-6874.0,1345.1,930.3,-1743.4,605.0,292.3,-1877.5,196.2,2991.0,2855.8,2808.75,2910.8,75.13458825003744,buy,-1117042.0,-1125115.3047052643,2748442500.0,4618505135.0,4304936110.0,4294915860.0,116955.0,210826.2,197153.8,185362.2,1,1
23250.0,2021-01-06,23950.0,22215.0,21962.5,23390.0,-0.9527751227229875,0.3036767451093285,86.45737349266575,93.0,-634.0,1123.7,941.25,-2064.4,-6435.0,-404.4,-2241.1,-1067.0,2968.0,2876.6,2819.4,2929.8,69.93214025870752,buy,-918701.0,-1108608.9381036942,4750266950.0,4799199030.0,4427777707.5,4352918070.0,198341.0,216372.3,202063.35,186076.2,2,1
22650.0,2021-01-07,23250.0,22520.0,22015.0,23460.0,-0.9964614941176245,0.08405052492918362,83.96589263760825,79.0,-8503.0,-242.9,296.45,-3959.2,-1022.0,-589.2,-2271.5,-1247.6,3032.0,2899.1,2833.7,2961.6,68.5045892316846,buy,-1040236.0,-1103213.1152626937,2825688750.0,4763232085.0,4378262025.0,4026004640.0,121535.0,212756.7,199545.5,171429.0,3,1
21350.0,2021-01-08,22650.0,22765.0,22015.0,23410.0,-0.9901811253364696,-0.13979033953532904,78.30197211915291,67.0,3241.0,-435.1,531.3,-3505.2,78.0,-664.0,-2232.3,-1208.2,3152.0,2933.6,2852.8,3017.4,70.59235553423929,buy,-1197246.0,-1110544.1461067472,3556276500.0,4800323915.0,4425002565.0,3845208760.0,157010.0,212688.6,201609.1,163876.8,4,2
21550.0,2021-01-11,21350.0,22935.0,21967.5,22940.0,-0.6869969260348808,-0.7266603220340467,65.85534859738145,41.0,2393.0,-258.5,790.5,-2075.4,-5522.0,-1261.6,-1739.7,-2459.2,3148.0,2967.5,2872.1,3058.2,77.2980359096783,buy,-1378901.0,-1131232.207541982,3878334250.0,4663254750.0,4459246817.5,3551801790.0,181655.0,204141.5,203531.65,155099.2,0,2
21650.0,2021-01-12,21550.0,22865.0,21915.0,22550.0,-0.5080753452467083,-0.8613126282323035,58.89885869584604,45.0,-4899.0,-1711.9,458.0,-1680.4,-10330.0,-2225.0,-1478.05,-4646.2,3126.0,2998.0,2890.55,3085.2,82.7946423849204,buy,-1290649.0,-1143395.1069300745,1901830600.0,3838697635.0,4350914617.5,3382479410.0,88252.0,167360.4,198943.2,149358.6,1,2
22650.0,2021-01-13,21650.0,22740.0,21880.0,22090.0,-0.30367674510917114,-0.9527751227230377,54.93078249253932,47.0,-268.0,-1835.8,285.8,-1607.2,-102.0,-2223.3,-1052.0,-3379.6,3148.0,3025.5,2909.35,3121.2,79.02719027125994,buy,-1243290.0,-1150944.0174486768,1025322350.0,3495204280.0,4232006717.5,2637490490.0,47359.0,152619.2,193697.1,119162.2,2,2
22000.0,2021-01-14,22650.0,22715.0,21917.5,21970.0,-0.08405052492901906,-0.9964614941176384,58.955065212175235,67.0,-1259.0,-2058.8,528.8,-158.4,-1017.0,-2313.1,-507.1,-3378.6,3150.0,3053.2,2928.35,3144.8,76.30296365713102,buy,-1156801.0,-1151382.7157935947,1958975850.0,3245076275.0,4102551385.0,2464147910.0,86489.0,141791.0,187637.8,112153.0,3,2
21250.0,2021-01-15,22000.0,22625.0,21955.0,21840.0,0.13979033953549258,-0.9901811253364465,54.5966206490474,45.88235294117647,-2201.0,-2376.0,34.3,-1246.8,188.0,-2282.4,-1097.55,-3356.6,3086.0,3074.5,2944.05,3131.6,74.74921706408128,buy,-1237302.0,-1157765.6578660763,1771022000.0,2976152885.0,3816100547.5,2107097010.0,80501.0,130364.0,174015.7,96851.2,4,3
22150.0,2021-01-18,21250.0,22380.0,21995.0,21820.0,0.7266603220341602,-0.6869969260347608,37.45365687733469,3.1746031746031744,3931.0,-1507.3,502.85,-939.2,-77.0,-2363.4,-1053.5,-2267.6,3014.0,3081.5,2955.8,3104.8,65.76884153855974,buy,-1324713.0,-1170074.339935008,1857483750.0,2627364350.0,3682021657.5,1702926910.0,87411.0,116550.8,167288.3,78002.4,0,3
21900.0,2021-01-19,22150.0,22245.0,22062.5,21940.0,0.8613126282323873,-0.5080753452465661,36.909354592412726,35.82089552238806,10970.0,277.1,811.1,2234.6,80.0,-2415.9,-1061.8,-185.6,3093.0,3091.7,2973.75,3098.2,74.45419900334608,buy,-1227022.0,-1174243.5332939136,2163855650.0,2568905665.0,3593705400.0,1755331920.0,97691.0,114624.4,162725.3,79890.2,1,3
21550.0,2021-01-20,21900.0,22040.0,22127.5,21990.0,0.9527751227228116,-0.30367674510988035,34.0588033815087,28.35820895522388,-7647.0,-424.2,349.75,758.8,333.0,-1739.1,-1071.75,-98.6,3115.0,3106.4,2991.5,3091.6,72.9607613780035,buy,-1278750.0,-1181844.8079204801,1132843200.0,2207163290.0,3503181160.0,1776836090.0,51728.0,99963.1,158167.7,80764.0,2,3
21500.0,2021-01-21,21550.0,21870.0,22195.0,21770.0,0.9964614941175759,-0.08405052492976078,28.67580499654585,17.91044776119403,3191.0,745.2,251.15,1648.8,25.0,-1634.4,-1111.8,109.8,3161.0,3119.3,3009.2,3093.8,67.21823401798852,buy,-1363125.0,-1194950.6866539351,1818281250.0,2106422540.0,3434827312.5,1748697170.0,84375.0,96247.1,154501.9,80341.2,3,3
21950.0,2021-01-22,21500.0,21755.0,22260.0,21670.0,0.9901811253364234,0.1397903395356561,24.589732268834066,16.417910447761194,-305.0,390.6,-22.25,2028.0,143.0,-1627.9,-1145.95,100.8,3141.0,3118.2,3025.9,3104.8,63.636652828487506,buy,-1430837.0,-1211908.915553562,1455808000.0,1896375690.0,3348349802.5,1685654370.0,67712.0,87317.3,150002.95,77783.4,4,4
21850.0,2021-01-25,21950.0,21815.0,22375.0,21810.0,0.6869969260353017,0.7266603220336488,26.34343446892565,29.850746268656714,-3613.0,-210.0,-234.25,519.2,488.0,-1026.9,-1144.25,213.8,3209.0,3124.3,3045.9,3143.8,66.36131951274905,buy,-1210403.0,-1211801.2156919283,4838526300.0,1992394895.0,3327824822.5,2281862880.0,220434.0,91195.2,147668.35,104388.0,0,4
21750.0,2021-01-26,21850.0,21845.0,22355.0,21750.0,0.5080753452464238,0.8613126282324712,27.086107884262972,28.57142857142857,-2442.0,35.7,-838.1,-2163.2,142.0,20.3,-1102.35,226.2,3140.0,3125.7,3061.85,3153.2,66.51174379282543,buy,-1304654.0,-1218409.788877988,2059384350.0,2008150270.0,2923423952.5,2260968620.0,94251.0,91795.1,129577.75,103700.0,1,4
22000.0,2021-01-27,21750.0,21855.0,22297.5,21720.0,0.30367674510972303,0.9527751227228618,28.12030642810188,30.18867924528302,-2098.0,-147.3,-991.55,-1053.4,79.0,38.4,-1092.45,175.4,3123.0,3123.2,3074.35,3154.8,68.27531172428452,buy,-1360595.0,-1228484.0846630635,1216716750.0,2027289710.0,2761246995.0,2277743330.0,55941.0,92653.3,122636.25,104542.6,2,4
22300.0,2021-01-28,22000.0,21790.0,22252.5,21810.0,0.08405052492959622,0.9964614941175898,33.33023145565548,43.75,10524.0,1031.0,-513.9,413.2,257.0,165.8,-1073.65,221.8,3069.0,3115.1,3084.15,3136.4,61.02453055669946,buy,-1214645.0,-1227507.62751878,3210900000.0,2152482125.0,2698779200.0,2556267080.0,145950.0,98599.4,120195.2,116857.6,3,4
23200.0,2021-01-29,22300.0,21820.0,22222.5,21970.0,-0.13979033953491904,0.9901811253365276,40.97018086581189,56.25,-3029.0,948.2,-713.9,-131.6,82.0,155.2,-1063.6,209.6,2976.0,3104.1,3089.3,3103.4,59.895761141503414,buy,-1035938.0,-1214043.2648223834,3985166100.0,2373896535.0,2675024710.0,3062138700.0,178707.0,108420.0,119392.0,139056.6,4,5
22450.0,2021-02-01,23200.0,22015.0,22197.5,22220.0,-0.7266603220337622,0.6869969260351817,57.925738108430515,91.83673469387756,12746.0,1829.7,161.2,3140.2,4331.0,596.0,-883.7,978.2,3057.0,3108.4,3094.95,3073.0,69.4632809939502,buy,-804568.0,-1185367.270960116,5367784000.0,2724926560.0,2676145455.0,3167990240.0,231370.0,122815.9,119683.35,141243.8,0,1
