target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
8080.0,2021-01-04,8180.0,8150.0,8310.0,8238.0,-0.7266603220339333,0.6869969260350008,45.5656001287519,43.956043956043956,38882.0,-42752.0,-24843.05,-108765.6,-245889.0,-24990.1,-7168.25,-85802.2,2944.0,2830.1,2794.25,2876.8,71.38364171588017,buy,6203117.0,8158470.077450042,9874879640.0,7856097102.0,10080258163.0,8591367190.0,1207198.0,964084.6,1202851.5,1044026.6,0,1
7930.0,2021-01-05,8080.0,8167.0,8271.0,8178.0,-0.8613126282322195,0.5080753452468506,41.34438817905098,32.967032967032964,-133828.0,-62275.3,-30598.8,-114599.8,-260790.0,-46761.7,-21349.25,-127800.0,2991.0,2855.8,2808.75,2910.8,71.6006695727649,buy,4936802.0,7897118.010968575,10231825200.0,7572898035.0,9219019003.0,9299298742.0,1266315.0,925560.4,1111220.25,1137572.0,1,1
8110.0,2021-01-06,7930.0,8154.0,8237.5,8122.0,-0.9527751227229875,0.3036767451093285,33.152842945883314,16.853932584269664,-44745.0,-69110.1,-30568.45,-91678.6,-239063.0,-61848.3,-38331.0,-166791.2,2968.0,2876.6,2819.4,2929.8,70.63398597995047,buy,3673744.0,7559386.767874099,10016049940.0,7960742089.0,8829767940.0,9543189472.0,1263058.0,975717.2,1070878.55,1175893.8,2,1
8150.0,2021-01-07,8110.0,8163.0,8214.0,8102.0,-0.9964614941176245,0.08405052492918362,37.38934780434909,45.83333333333333,185610.0,-49407.5,-22526.4,-22686.4,-124032.0,-81913.6,-43700.75,-182776.2,3032.0,2899.1,2833.7,2961.6,68.51853627321742,buy,5581297.0,7403280.825273578,15470254830.0,9134095722.0,9154500778.5,10877921180.0,1907553.0,1119880.0,1113950.85,1343114.6,3,1
7940.0,2021-01-08,8150.0,8176.0,8205.5,8090.0,-0.9901811253364696,-0.13979033953532904,43.34325653046756,55.223880597014926,-28843.0,-51150.2,-21796.75,3415.2,-185938.0,-108169.5,-51354.3,-211142.4,3152.0,2933.6,2852.8,3017.4,76.83715116751291,buy,7065425.0,7376940.768995999,12095643200.0,9969988192.0,9032868314.5,11537730562.0,1484128.0,1221700.3,1100847.8,1425650.4,4,2
8160.0,2021-01-11,7940.0,8140.0,8189.5,8042.0,-0.6869969260348808,-0.7266603220340467,36.84911206677593,23.88059701492537,-37689.0,-60332.3,-25503.05,-11899.0,-141254.0,-138008.8,-57591.05,-190215.4,3148.0,2967.5,2872.1,3058.2,65.91829246850077,buy,5177719.0,7207399.22605932,14988385640.0,10575899476.0,9325846191.5,12560431762.0,1887706.0,1302889.3,1139973.85,1561752.0,0,2
8560.0,2021-01-12,8160.0,8118.0,8188.0,8058.0,-0.5080753452467083,-0.8613126282323035,43.476031383270666,56.71641791044776,-182260.0,-68092.6,-38632.05,-21585.4,-38410.0,-136769.7,-54422.8,-145739.4,3126.0,2998.0,2890.55,3085.2,73.37031126261425,buy,8751163.0,7325182.573546803,29159303040.0,12822613036.0,10359667214.0,16345927330.0,3573444.0,1580374.9,1266858.0,2023177.8,1,2
9210.0,2021-01-13,8560.0,8153.0,8192.0,8184.0,-0.30367674510917114,-0.9527751227230377,55.793701047956226,80.41237113402062,396034.0,-12554.1,-18251.95,66570.4,-33222.0,-135681.2,-59254.85,-104571.2,3148.0,3025.5,2909.35,3121.2,80.49522176582933,buy,13313118.0,7777682.069129851,39050334800.0,15847986887.0,11852971602.0,22152784302.0,4561955.0,1929425.5,1440803.35,2682957.2,2,2
9400.0,2021-01-14,9210.0,8253.0,8221.5,8404.0,-0.08405052492901906,-0.9964614941176384,62.154083430455316,74.86910994764398,167700.0,20151.0,-8243.25,62988.4,-24443.0,-133714.8,-64357.0,-84653.4,3150.0,3053.2,2928.35,3144.8,84.21496991842533,buy,26307839.0,9165623.574062018,119681380410.0,26936465299.0,17143769364.5,42995009418.0,12994721.0,3121752.7,2010113.5,4900390.8,3,2
9600.0,2021-01-15,9400.0,8372.0,8267.0,8654.0,0.13979033953549258,-0.9901811253364465,69.70982174724271,84.81675392670157,772100.0,113296.1,31577.35,223177.0,-46856.0,-133989.7,-66082.5,-56837.0,3086.0,3074.5,2944.05,3131.6,90.1454811322871,buy,32323754.0,10886040.665301232,56549601000.0,31711765770.0,19626903929.0,51885800978.0,6015915.0,3616199.3,2270350.3,5806748.2,4,3
10250.0,2021-01-18,9600.0,8514.0,8332.0,8986.0,0.7266603220341602,-0.6869969260347608,78.23700692276506,95.28795811518324,153357.0,124743.6,40995.8,261386.2,-49123.0,-114313.1,-69651.6,-38410.8,3014.0,3081.5,2955.8,3104.8,77.03330418968959,buy,35647791.0,12711673.277622638,31910755200.0,33915353326.0,20885725214.0,55270274890.0,3324037.0,3827883.2,2395983.9,6094014.4,0,3
10300.0,2021-01-19,10250.0,8731.0,8449.0,9404.0,0.8613126282323873,-0.5080753452465661,80.35454032950568,84.58904109589042,-73107.0,130815.7,34270.2,283216.8,192979.0,-68936.2,-57848.95,7867.0,3093.0,3091.7,2973.75,3098.2,69.85813013553525,buy,46269236.0,15168454.951944683,108869811250.0,43779151931.0,25676024983.0,71212376532.0,10621445.0,4763396.2,2844478.3,7503614.6,1,3
10550.0,2021-01-20,10300.0,8968.0,8561.0,9752.0,0.9527751227228116,-0.30367674510988035,82.3369346012227,86.3013698630137,96159.0,144906.1,37898.0,223241.8,102694.0,-34760.5,-48304.4,35050.2,3115.0,3106.4,2991.5,3091.6,76.25145721368308,buy,48941428.0,17624931.102993704,27523577600.0,45529904697.0,26745323393.0,68907025092.0,2672192.0,4904309.6,2940013.4,7125662.0,2,3
10300.0,2021-01-21,10550.0,9212.0,8687.5,10020.0,0.9964614941175759,-0.08405052492976078,85.98009843318677,93.26599326599326,85922.0,134937.3,42764.9,206886.2,-521.0,-22409.4,-52161.5,39834.6,3161.0,3119.3,3009.2,3093.8,71.44094508937235,buy,51188066.0,20051420.01404805,23702030900.0,46353082304.0,27743589013.0,49711155190.0,2246638.0,4938218.1,3029049.05,4976045.4,3,3
10600.0,2021-01-22,10300.0,9427.0,8801.5,10200.0,0.9901811253364234,0.1397903395356561,85.60288394595518,84.84848484848484,77067.0,145528.3,47189.05,67879.6,-65174.0,-10333.0,-59251.25,36171.0,3141.0,3118.2,3025.9,3104.8,67.47273846901007,buy,49666059.0,22180461.83754205,15676672100.0,46711185194.0,28340586693.0,41536569410.0,1522007.0,4942006.0,3081853.15,4077263.8,4,4
10150.0,2021-01-25,10600.0,9693.0,8916.5,10400.0,0.6869969260353017,0.7266603220336488,88.7184757844982,94.94949494949495,124100.0,161707.2,50687.45,62028.2,-16878.0,2104.6,-67952.1,42620.0,3209.0,3124.3,3045.9,3143.8,64.68355401751921,buy,51626067.0,24286348.581469554,20776084800.0,47289955110.0,28932927293.0,39309635330.0,1960008.0,4949236.2,3126062.75,3804458.0,0,4
10450.0,2021-01-26,10150.0,9892.0,9005.0,10380.0,0.5080753452464238,0.8613126282324712,85.74494223099013,79.7979797979798,-101779.0,169755.3,50831.35,56293.8,-38388.0,2106.8,-67331.45,-3653.4,3140.0,3125.7,3061.85,3153.2,67.36160530805768,buy,50395239.0,26144585.94530783,12492904200.0,45623315226.0,29222964131.0,20034253920.0,1230828.0,4714974.6,3147674.75,1926334.6,1,4
9920.0,2021-01-27,10450.0,10081.0,9117.0,10410.0,0.30367674510972303,0.9527751227228618,87.1296356189515,89.8989898989899,93856.0,139537.5,63491.7,55833.2,-59844.0,-555.4,-68118.3,-36161.0,3123.0,3123.2,3074.35,3154.8,64.69439649145676,buy,51795627.0,27962047.640099205,14634054600.0,43181687206.0,29514837046.5,17456349320.0,1400388.0,4398817.9,3164121.7,1671973.8,2,4
9480.0,2021-01-28,9920.0,10152.0,9202.5,10284.0,0.08405052492959622,0.9964614941175898,82.10435488994169,72.05387205387206,-103054.0,112462.1,66306.55,18038.0,-63263.0,-4437.4,-69076.1,-48709.4,3069.0,3115.1,3084.15,3136.4,67.22623878703027,buy,50145091.0,29527237.224388544,16373317120.0,32850880877.0,29893673088.0,15990606564.0,1650536.0,3264399.4,3193076.05,1552753.4,3,4
10200.0,2021-01-29,9480.0,10160.0,9266.0,10120.0,-0.13979033953491904,0.9901811253365276,72.61941529555222,53.64963503649635,96933.0,44945.4,79120.75,22011.2,-33512.0,-3103.0,-68546.35,-42377.0,2976.0,3104.1,3089.3,3103.4,67.31924103445417,buy,48537369.0,30863353.562079042,15241204560.0,28720041233.0,30215903501.5,15903513056.0,1607722.0,2823580.1,3219889.7,1569896.4,4,5
10250.0,2021-02-01,10200.0,10220.0,9367.0,10040.0,-0.7266603220337622,0.6869969260351817,74.80183747771888,79.16666666666666,41669.0,33776.6,79260.1,5525.0,103438.0,12153.1,-51080.0,-18313.8,3057.0,3108.4,3094.95,3073.0,63.30920308160021,buy,50464630.0,32236052.06456428,19658062200.0,27494771933.0,30705062629.5,15679908536.0,1927261.0,2683902.5,3255892.85,1563347.0,0,1
10300.0,2021-02-02,10250.0,10220.0,9475.5,10060.0,-0.8613126282325552,0.5080753452462816,75.59087612827547,77.1689497716895,-44972.0,36590.1,83702.9,16886.4,-6993.0,-7844.1,-38390.15,-12034.8,3097.0,3108.8,3100.25,3064.4,61.8150519348126,buy,51586791.0,33586661.15250778,11502150250.0,17758005833.0,30768578882.0,15481757746.0,1122161.0,1733974.1,3248685.15,1541613.6,1,1
10950.0,2021-02-03,10300.0,10220.0,9594.0,10030.0,-0.9527751227229119,0.30367674510956566,74.63634067796727,72.72727272727273,-90831.0,17891.1,81398.6,-20051.0,-96189.0,-27732.4,-31246.45,-19303.8,3130.0,3110.3,3108.35,3065.8,47.70934046000746,sell,52805977.0,34923912.35693568,12557615800.0,16261409653.0,30895657175.0,15066469986.0,1219186.0,1588673.5,3246491.55,1505373.2,2,1
11050.0,2021-02-04,10950.0,10260.0,9736.0,10236.0,-0.9964614941176037,0.08405052492943167,79.83886483787954,90.2439024390244,1418.0,9440.7,72189.0,843.4,91883.0,-18492.0,-20450.7,11725.4,3088.0,3103.0,3111.15,3069.6,57.91275673671445,buy,56771965.0,36439653.5409173,43427568600.0,18233963423.0,32293522863.5,20477320282.0,3965988.0,1760608.5,3349413.3,1968463.6,3,1
10500.0,2021-02-05,11050.0,10335.0,9881.0,10550.0,-0.9901811253365045,-0.13979033953508258,84.75744367537824,94.5945945945946,-83223.0,-6588.3,69470.0,-35187.8,-19101.0,-13884.7,-12108.85,14607.6,3121.0,3101.0,3109.6,3098.6,68.53981563452017,buy,58431392.0,37961239.913591124,18336668350.0,18499963048.0,32605574121.0,21096413040.0,1659427.0,1774350.5,3358178.25,1978804.6,4,1
10700.0,2021-02-08,10500.0,10325.0,10009.0,10610.0,-0.6869969260350617,-0.7266603220338756,78.1265820479536,64.86486486486487,-83038.0,-27302.1,67202.55,-60129.2,-59944.0,-18191.3,-8043.35,-18068.8,3091.0,3089.2,3106.75,3105.4,50.097545211122316,buy,57261397.0,39293238.72125929,12284947500.0,17650849318.0,32470402214.0,19621790100.0,1169995.0,1695349.2,3322292.7,1827351.4,0,2
