target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
78881.0,2021-01-04,79483.0,76743.7,75770.15,78239.0,-0.7266603220339333,0.6869969260350008,82.25609265205478,98.39254139205916,108002.0,72172.5,14615.05,119158.0,-62182.0,10959.5,13204.2,-26275.6,2944.0,2830.1,2794.25,2876.8,68.88416585842303,buy,621275.0,-523869.90847259486,67857816420.0,55685298265.8,48256714449.65,64947971074.8,853740.0,723376.6,634218.7,830114.0,0,1
79383.0,2021-01-05,78881.0,77084.9,75955.8,78580.2,-0.8613126282322195,0.5080753452468506,84.42039598277542,88.71564057225527,-40399.0,61976.8,22249.1,59510.6,-95313.0,-8655.3,11397.0,-37093.4,2991.0,2855.8,2808.75,2910.8,73.97167904266162,buy,-127284.0,-491697.58524593257,59047082479.0,54975027913.3,48320362333.6,63523356830.6,748559.0,710580.9,633216.65,808345.0,1,1
80788.0,2021-01-06,79383.0,77446.2,76161.55,78821.0,-0.9527751227229875,0.3036767451093285,78.73812051413593,67.43196326576324,241339.0,81800.5,41540.35,92448.4,-48909.0,-17604.0,8136.35,-45010.4,2968.0,2876.6,2819.4,2929.8,66.58956161928495,buy,1308431.0,-347746.4070537879,113971363845.0,61599017993.8,51836516048.85,73603503916.0,1435715.0,791157.2,676007.15,932859.6,2,1
87111.0,2021-01-07,80788.0,78018.2,76482.7,79342.8,-0.9964614941176245,0.08405052492918362,80.0216689232139,82.57997218358831,2337.0,84454.4,47145.25,77585.8,29411.0,-14739.0,8587.65,-37263.4,3032.0,2899.1,2833.7,2961.6,74.09227067497368,buy,2083622.0,-155868.8375134669,62626130508.0,64369978147.0,51924223009.0,73414604334.0,775191.0,822163.1,673838.85,925269.4,3,1
90924.0,2021-01-08,87111.0,79222.5,77079.85,81129.2,-0.9901811253364696,-0.13979033953532904,85.68834131592999,96.99580461492359,312230.0,118097.6,62009.9,124701.8,111630.0,-3652.1,12998.05,-13072.6,3152.0,2933.6,2852.8,3017.4,66.2672096077459,buy,4550337.0,211038.33809494044,214878010365.0,82366126285.9,61020422175.25,103676080723.4,2466715.0,1022321.4,775254.35,1255984.0,4,2
91827.0,2021-01-11,90924.0,80828.2,77877.7,83417.4,-0.6869969260348808,-0.7266603220340467,86.89852733177324,89.3152144950706,302183.0,141348.0,78512.8,163538.0,-177432.0,-31199.1,5659.95,-36122.6,3148.0,2967.5,2872.1,3058.2,71.43171260753965,buy,7708084.0,788997.6448393371,287114988228.0,106237743079.9,73575884061.85,147527515085.0,3157747.0,1273449.7,909127.3,1716785.4,0,2
91225.0,2021-01-12,91827.0,82293.4,78745.8,86006.6,-0.5080753452467083,-0.8613126282323035,89.30977135571135,94.12736477484678,119866.0,127550.8,86689.35,195591.0,-84181.0,-35494.8,2447.75,-33896.2,3126.0,2998.0,2890.55,3085.2,81.27879990101805,buy,9285956.0,1437283.4871595409,144891252144.0,114109852924.3,79356624868.8,164696349018.0,1577872.0,1345496.5,968363.05,1882648.0,1,2
90623.0,2021-01-13,91225.0,83598.0,79573.75,88375.0,-0.30367674510917114,-0.9527751227230377,89.8465112195072,90.91926458832934,-16813.0,118204.5,84911.65,143960.6,23785.0,-32183.9,3109.85,-19357.4,3148.0,3025.5,2909.35,3121.2,74.45335577123842,buy,8479554.0,1969457.5384597562,73564022450.0,115109192327.5,82029623766.4,156614880739.0,806402.0,1344822.5,995220.5,1756785.4,2,2
87813.0,2021-01-14,90623.0,84842.4,80401.7,90342.0,-0.08405052492901906,-0.9964614941176384,89.13451482922187,87.71116440181189,-17143.0,108825.2,87569.25,140064.6,-64227.0,-37674.2,267.05,-38085.0,3150.0,3053.2,2928.35,3144.8,69.61503088163813,buy,7677478.0,2396998.3595725833,72686533348.0,116020782820.5,83978509314.6,158626961307.0,802076.0,1343715.9,1012567.75,1762162.4,3,2
85806.0,2021-01-15,87813.0,85805.8,81109.2,90482.4,0.13979033953549258,-0.9901811253364465,82.75897279048115,70.01172332942556,81191.0,109279.3,92847.2,93856.8,-158952.0,-52637.0,-6604.15,-92201.4,3086.0,3074.5,2944.05,3131.6,64.72733216788632,buy,6681752.0,2715312.63016173,87437687238.0,118407488702.5,86776093822.55,133138896681.6,995726.0,1361974.3,1040982.4,1467964.6,4,3
88315.0,2021-01-18,85806.0,86438.1,81590.9,89458.8,0.7266603220341602,-0.6869969260347608,73.62332343921824,55.35568787214039,51796.0,103658.7,87915.6,43779.4,-12509.0,-47669.7,-18355.1,-59216.8,3014.0,3081.5,2955.8,3104.8,65.31953163851446,buy,5841768.0,2945819.7149596014,72075667104.0,118829273770.9,87257286018.35,90131032456.8,839984.0,1360598.7,1041987.65,1004412.0,0,3
89118.0,2021-01-19,88315.0,87381.5,82233.2,88756.4,0.8613126282323873,-0.5080753452465661,72.77586203952796,71.08116577875275,24292.0,110127.8,86052.3,24664.6,54583.0,-32680.1,-20667.7,-31464.0,3093.0,3091.7,2973.75,3098.2,64.87595236180259,buy,6425765.0,3200589.8803217467,51575695055.0,118082135028.5,86528581470.9,71467921039.0,583997.0,1344142.5,1027361.7,805637.0,1,3
91125.0,2021-01-20,89118.0,88355.0,82900.6,88335.0,0.9527751227228116,-0.30367674510988035,73.88866440509564,76.11407082419305,297.0,86023.6,83912.05,28086.6,-35811.0,-31370.3,-24487.15,-43383.2,3115.0,3106.4,2991.5,3091.6,60.80190866997899,buy,7022105.0,3478547.66446487,53144628120.0,111999461456.0,86799239724.9,67384042173.0,596340.0,1260205.0,1025681.1,763624.6,2,3
92931.0,2021-01-21,91125.0,89388.7,83703.45,88435.4,0.9964614941175759,-0.08405052492976078,78.7265336308431,88.4016973125884,29677.0,88757.6,86606.0,37450.6,68485.0,-27462.9,-21100.95,-16840.8,3161.0,3119.3,3009.2,3093.8,60.501204759373174,buy,7701198.0,3783829.463852144,61882349625.0,111925083367.7,88147530757.35,65223205428.4,679093.0,1250595.2,1036379.15,739028.0,3,3
95039.0,2021-01-22,92931.0,89970.7,84596.6,89459.0,0.9901811253364234,0.1397903395356561,80.95107741956484,85.3999888036724,158614.0,73396.0,95746.8,52935.2,8159.0,-37810.0,-20731.05,16581.4,3141.0,3118.2,3025.9,3104.8,60.349565604251886,buy,8863593.0,4149021.4564693356,108022529745.0,101239535305.7,91802830795.8,69340173929.8,1162395.0,1120163.2,1071242.3,772361.8,4,4
92530.0,2021-01-25,95039.0,90382.2,85605.2,91305.6,0.6869969260353017,0.7266603220336488,86.30035222030834,96.99861936490785,57788.0,48956.5,95152.25,54133.6,-11860.0,-21252.8,-26225.95,16711.2,3209.0,3124.3,3045.9,3143.8,65.96107923124752,buy,9583763.0,4537702.555399006,68444236630.0,79372460145.9,92805101612.9,68613887835.0,720170.0,876405.5,1074927.6,748399.0,0,4
93333.0,2021-01-26,92530.0,90452.5,86372.95,92148.6,0.5080753452464238,0.8613126282324712,83.8904882563386,79.07084516016914,-185662.0,18403.7,72977.25,12142.8,-86196.0,-21454.3,-28474.55,-11444.6,3140.0,3125.7,3061.85,3153.2,59.73951223842938,buy,8771497.0,4839032.673288072,75158972980.0,72399232229.5,93254542576.9,73330543420.0,812266.0,799844.9,1072670.7,794052.8,1,4
91928.0,2021-01-27,93333.0,90663.3,87130.65,92991.6,0.30367674510972303,0.9527751227228618,82.99666553191949,81.20904105924836,35719.0,23656.9,70930.7,19227.2,13563.0,-22476.5,-27330.2,-1569.8,3123.0,3123.2,3074.35,3154.8,64.70832481186076,buy,9491311.0,5168662.0881051505,67182400062.0,71761069990.7,93435131159.1,76138097808.4,719814.0,791186.1,1068004.3,818747.6,2,4
88516.0,2021-01-28,91928.0,90793.8,87818.1,93152.2,0.08405052492959622,0.9964614941175898,75.20268032431673,59.61483184823225,-112027.0,14168.5,61496.85,-9113.6,35089.0,-12544.9,-25109.55,-8249.0,3069.0,3115.1,3084.15,3136.4,55.052331352149515,buy,8569499.0,5408618.095313187,84740333536.0,72966450009.5,94493616415.0,80709694590.6,921812.0,803159.7,1073437.8,867291.4,3,4
88616.0,2021-01-29,88516.0,90864.1,88334.95,92269.2,-0.13979033953491904,0.9901811253365276,59.109546076231915,26.923445434511834,-53212.0,728.2,55003.75,-51478.8,-47502.0,-1399.9,-27018.45,-19381.2,2976.0,3104.1,3089.3,3103.4,46.297926444579694,sell,7499406.0,5555567.938221779,94720351988.0,73694716484.5,96051102593.5,78049259039.2,1070093.0,810596.4,1086285.35,848831.0,4,5
