target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
23300.0,2021-01-04,23850.0,22355.0,21442.5,23380.0,-0.7266603220339333,0.6869969260350008,87.31764865861226,86.04651162790698,-124802.0,26420.9,18224.0,25172.2,-69303.0,45895.0,17442.75,96942.8,2944.0,2830.1,2794.25,2876.8,81.16728506046674,buy,6938943.0,3377257.021730639,19938456900.0,20379072925.0,14392470627.5,27959247200.0,835994.0,893886.6,649133.7,1189415.6,0,1
22450.0,2021-01-05,23300.0,22625.0,21607.5,23620.0,-0.8613126282322195,0.5080753452468506,81.9341038752485,71.25,-44518.0,24479.9,15948.35,33938.4,-64094.0,40677.1,15038.8,86507.0,2991.0,2855.8,2808.75,2910.8,73.56368341120003,buy,6193669.0,3605733.4112556763,17364884200.0,20920971465.0,15029810837.5,28525411040.0,745274.0,910424.2,674852.2,1206940.4,1,1
22750.0,2021-01-06,22450.0,22745.0,21720.0,23380.0,-0.9527751227229875,0.3036767451093285,71.25281395957559,50.0,24160.0,16878.4,15972.95,16169.6,-122958.0,26090.5,10671.75,24186.6,2968.0,2876.6,2819.4,2929.8,66.36448785125702,buy,5458787.0,3753916.8518938813,16498100900.0,21097423430.0,15609076812.5,24803450280.0,734882.0,914577.9,699435.95,1057021.2,2,1
22750.0,2021-01-07,22750.0,22880.0,21860.0,23200.0,-0.9964614941176245,0.08405052492918362,66.658049768517,57.49999999999999,-14055.0,16110.5,15247.15,-9242.2,-128334.0,18701.5,6512.3,-39209.0,3032.0,2899.1,2833.7,2961.6,64.24593303716617,buy,5992399.0,3930572.3158671358,12139673000.0,21432248770.0,15952669590.0,20209803940.0,533612.0,926857.7,712914.0,866848.0,3,1
22600.0,2021-01-08,22750.0,23015.0,21995.0,23020.0,-0.9901811253364696,-0.13979033953532904,63.60071190242928,57.49999999999999,68654.0,23613.5,19271.85,-18112.2,-126305.0,11515.4,262.55,-102198.8,3152.0,2933.6,2852.8,3017.4,58.92417588543135,buy,5992399.0,4091317.3048005,13291232500.0,21882230060.0,16460818157.5,15846469500.0,584230.0,944199.3,734324.35,686798.4,4,2
22600.0,2021-01-11,22600.0,23075.0,22112.5,22770.0,-0.6869969260348808,-0.7266603220340467,60.31380519199247,53.75,73753.0,23385.5,22560.6,21598.8,-37616.0,540.7,-937.05,-95861.4,3148.0,2967.5,2872.1,3058.2,63.97651288079765,buy,5168890.0,4174389.116814239,18611303400.0,21770143000.0,17052440852.5,15581038800.0,823509.0,936858.5,758761.9,684301.4,0,2
22800.0,2021-01-12,22600.0,23125.0,22230.0,22630.0,-0.5080753452467083,-0.8613126282323035,55.40195834318066,45.588235294117645,35544.0,35774.8,24840.0,37611.2,-34844.0,-1752.2,105.15,-90011.4,3126.0,2998.0,2890.55,3085.2,64.55228911292298,buy,5168890.0,4250265.779473494,20194908000.0,22336227300.0,17773372652.5,16147043560.0,893580.0,960451.5,789178.5,713962.6,1,2
22550.0,2021-01-13,22800.0,23040.0,22327.5,22700.0,-0.30367674510917114,-0.9527751227230377,54.090910235941436,51.470588235294116,33957.0,27870.1,23039.95,39570.6,-36949.0,-24311.5,-3028.0,-72809.6,3148.0,3025.5,2909.35,3121.2,69.41547167219079,buy,5527204.0,4346762.127467883,8169559200.0,19642392750.0,17582859302.5,14481335220.0,358314.0,847835.1,778365.6,638649.0,2,2
22900.0,2021-01-14,22550.0,22930.0,22395.0,22660.0,-0.08405052492901906,-0.9964614941176384,48.62726976161233,37.704918032786885,55982.0,22167.9,26920.6,53578.0,-27187.0,-45894.6,-5915.1,-52580.2,3150.0,3053.2,2928.35,3144.8,66.24547641816946,buy,5031537.0,4398052.975714214,11177290850.0,17249331365.0,17256023885.0,14288858790.0,495667.0,748954.0,761370.65,631060.0,3,2
22750.0,2021-01-15,22900.0,22855.0,22487.5,22690.0,0.13979033953549258,-0.9901811253364465,46.25418205817315,41.509433962264154,68483.0,17715.8,30231.9,53543.8,107514.0,-54007.6,-1697.75,-5816.4,3086.0,3074.5,2944.05,3131.6,65.13090762090869,buy,6067196.0,4522053.580853204,23716591100.0,16110200005.0,18006815195.0,16373930510.0,1035659.0,704072.1,792486.7,721345.8,4,3
