target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
24700.0,2021-01-04,26100.0,20540.0,18900.0,22060.0,-0.7266603220339333,0.6869969260350008,84.50127808971948,88.3177570093458,45268.0,-1321.0,688.8,10938.0,-134875.0,-7749.9,-2518.8,-32481.8,2944.0,2830.1,2794.25,2876.8,75.92053815209758,buy,15125607.0,6138912.225293694,119911621500.0,44739801180.0,28688618437.5,49824919680.0,4594315.0,2118821.5,1421652.2,2149142.0,0,1
26000.0,2021-01-05,24700.0,21225.0,19300.0,22820.0,-0.8613126282322195,0.5080753452468506,81.35715378658608,75.11737089201877,-15969.0,6459.9,2531.65,6389.6,-177444.0,-25212.1,-12199.8,-69533.0,2991.0,2855.8,2808.75,2910.8,82.27175882932815,buy,12659154.0,6667855.189252621,60921389100.0,46930285305.0,31283687692.5,49856733660.0,2466453.0,2146886.7,1517968.85,2060975.0,1,1
25250.0,2021-01-06,26000.0,21905.0,19717.5,23800.0,-0.9527751227229875,0.3036767451093285,78.09202812403755,71.59533073929961,-32858.0,1408.0,-5367.55,-358.6,-73743.0,-38337.1,-18624.5,-81925.2,2968.0,2876.6,2819.4,2929.8,72.19675215295675,buy,20330522.0,7760419.909780682,199455568000.0,60343274425.0,39202839172.5,85184470080.0,7671368.0,2573785.6,1785184.45,3378974.8,2,1
23100.0,2021-01-07,25250.0,22495.0,20107.5,24630.0,-0.9964614941176245,0.08405052492918362,73.88180272616032,65.49019607843137,23838.0,3325.0,270.0,4232.4,-57074.0,-45631.8,-19858.3,-90983.6,3032.0,2899.1,2833.7,2961.6,80.45702092652995,buy,18265516.0,8589456.060670432,52141401500.0,61744288095.0,41184381715.0,91049373200.0,2065006.0,2583225.4,1852587.9,3575702.2,3,1
21100.0,2021-01-08,23100.0,22870.0,20387.5,25030.0,-0.9901811253364696,-0.13979033953532904,64.37895653753101,45.416666666666664,77070.0,10565.2,4267.3,19469.8,-29516.0,-50170.7,-20614.95,-94530.4,3152.0,2933.6,2852.8,3017.4,74.37225651522597,buy,16596924.0,9213737.604408983,38544475200.0,61785609135.0,42202628350.0,94194891060.0,1668592.0,2553023.8,1884075.95,3693146.8,4,2
20550.0,2021-01-11,21100.0,23045.0,20585.0,24030.0,-0.6869969260348808,-0.7266603220340467,52.39109811923771,28.451882845188287,153122.0,25989.3,12110.6,41040.6,-193907.0,-69409.3,-30254.25,-106336.8,3148.0,2967.5,2872.1,3058.2,69.15383178171892,buy,14796799.0,9644144.786014335,37982637500.0,63817006970.0,43639638897.5,77809094260.0,1800125.0,2641725.4,1947136.35,3134308.8,0,2
21000.0,2021-01-12,20550.0,23010.0,20767.5,23200.0,-0.5080753452467083,-0.8613126282323035,40.29555851249453,16.129032258064516,-40880.0,21224.0,10054.15,36058.4,-31472.0,-73337.7,-31826.65,-77142.4,3126.0,2998.0,2890.55,3085.2,62.7831421714911,buy,13869320.0,9966509.702736039,19059693450.0,59646744395.0,44313249670.0,69436755130.0,927479.0,2443744.5,1976979.3,2826514.0,1,2
19750.0,2021-01-13,21000.0,23000.0,20972.5,22200.0,-0.30367674510917114,-0.9527751227230377,33.61952672914383,20.276497695852534,-8042.0,20331.5,9512.3,41021.6,-257.0,-72185.2,-31563.35,-62445.2,3148.0,3025.5,2909.35,3121.2,64.44805929225643,buy,14424259.0,10303375.277394118,11653719000.0,58530427705.0,44737951885.0,31876385330.0,554939.0,2391101.5,1995378.1,1403228.2,2,2
19150.0,2021-01-14,19750.0,22865.0,21105.0,21100.0,-0.08405052492901906,-0.9964614941176384,24.902608230217496,7.476635514018691,44505.0,24693.7,11112.9,45155.0,-76372.0,-78644.2,-35288.7,-66304.8,3150.0,3053.2,2928.35,3144.8,61.386725363624905,buy,13528632.0,10544952.706342315,17688633250.0,58017602440.0,45253883677.5,24985831680.0,895627.0,2372527.3,2018609.75,1169352.4,3,2
18300.0,2021-01-15,19150.0,22670.0,21200.0,20310.0,0.13979033953549258,-0.9901811253364465,17.37542352514889,2.3255813953488373,76587.0,32264.1,15138.35,45058.4,-19671.0,-79433.1,-36409.35,-64335.8,3086.0,3074.5,2944.05,3131.6,63.96632157767737,buy,12977855.0,10725692.97381381,10547379550.0,56790651805.0,45566325417.5,19386412550.0,550777.0,2319468.1,2033689.05,945789.4,4,3
18950.0,2021-01-18,18300.0,21890.0,21215.0,19750.0,0.7266603220341602,-0.6869969260347608,12.017682191518942,1.3043478260869565,-3337.0,27403.6,13041.3,13766.6,-33243.0,-69269.9,-38509.9,-32203.0,3014.0,3081.5,2955.8,3104.8,59.50858074728592,buy,12412036.0,10850023.55555997,10354487700.0,45834938425.0,45287369802.5,13860782590.0,565819.0,1916618.5,2017720.0,698928.2,0,3
19750.0,2021-01-19,18950.0,21315.0,21270.0,19430.0,0.8613126282323873,-0.5080753452465661,11.246599870622813,9.70464135021097,34655.0,32466.0,19462.95,28873.6,-9852.0,-52510.7,-38861.4,-27879.0,3093.0,3091.7,2973.75,3098.2,60.67484242209848,buy,12839484.0,10995673.881899957,8100139600.0,40552813475.0,43741549390.0,11668871820.0,427448.0,1712718.0,1929802.35,598922.0,1,3
19900.0,2021-01-20,19750.0,20690.0,21297.5,19180.0,0.9527751227228116,-0.30367674510988035,12.983068466369929,16.455696202531644,-88132.0,26938.6,14173.3,12855.6,-502.0,-45186.6,-41761.85,-27928.0,3115.0,3106.4,2991.5,3091.6,58.42271983082388,buy,13346168.0,11166636.998948552,10007009000.0,21607957575.0,40975616000.0,11339529820.0,506684.0,996249.6,1785017.6,589271.0,2,3
20050.0,2021-01-21,19900.0,20155.0,21325.0,19210.0,0.9964614941175759,-0.08405052492976078,14.562614526745874,17.72151898734177,-90484.0,15506.4,9415.7,-14142.2,3645.0,-39114.7,-42373.25,-11924.6,3161.0,3119.3,3009.2,3093.8,57.52363978073566,buy,13738963.0,11352606.531780386,7816620500.0,17175479475.0,39459883785.0,9365127270.0,392795.0,829028.5,1706126.95,488704.6,3,3
