,target_shift1,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
target_shift1,1.0,0.967,0.879,0.779,0.925,0.03,0.02,0.173,0.155,0.014,-0.095,-0.118,-0.051,0.041,0.078,0.039,0.088,0.406,0.356,0.3,0.384,-0.046,0.537,0.412,0.35,0.443,0.456,0.42,0.269,0.343,0.353,0.324,-0.006,-0.028
close,0.967,1.0,0.907,0.805,0.957,0.031,0.029,0.174,0.154,0.01,-0.092,-0.115,-0.041,0.031,0.08,0.032,0.077,0.42,0.366,0.309,0.396,-0.037,0.569,0.429,0.363,0.459,0.474,0.44,0.279,0.355,0.367,0.34,-0.001,-0.027
close_mv10,0.879,0.907,1.0,0.943,0.971,0.023,0.034,-0.102,-0.168,-0.089,-0.17,-0.184,-0.147,-0.046,-0.035,-0.05,-0.059,0.395,0.435,0.392,0.429,-0.072,0.56,0.532,0.218,0.435,0.509,0.34,0.146,0.321,0.386,0.243,0.009,0.004
close_mv20,0.779,0.805,0.943,1.0,0.876,0.033,0.022,-0.327,-0.325,-0.105,-0.258,-0.282,-0.2,-0.024,-0.069,-0.108,-0.047,0.375,0.461,0.472,0.426,-0.136,0.532,0.601,0.114,0.286,0.438,0.197,0.05,0.181,0.31,0.11,0.011,0.032
close_mv5,0.925,0.957,0.971,0.876,1.0,0.031,0.037,0.064,-0.022,-0.069,-0.125,-0.143,-0.094,-0.048,0.032,-0.01,-0.01,0.407,0.401,0.345,0.424,-0.051,0.569,0.48,0.279,0.469,0.503,0.42,0.201,0.357,0.388,0.316,0.007,-0.003
dayofmonth_freq_cos,0.03,0.031,0.023,0.033,0.031,1.0,-0.014,0.03,0.046,0.002,0.103,-0.009,0.068,0.037,-0.053,0.004,0.008,0.158,0.135,0.079,0.188,-0.053,0.038,0.044,-0.036,-0.079,0.002,-0.086,-0.035,-0.08,-0.006,-0.084,0.0,-0.073
dayofmonth_freq_sin,0.02,0.029,0.034,0.022,0.037,-0.014,1.0,0.05,0.016,-0.083,-0.02,-0.004,-0.102,0.034,0.068,0.018,0.084,-0.035,0.091,0.038,0.037,-0.057,0.035,0.022,0.08,-0.008,0.006,0.058,0.072,-0.008,0.0,0.054,-0.005,0.149
fast_d,0.173,0.174,-0.102,-0.327,0.064,0.03,0.05,1.0,0.899,0.124,0.327,0.31,0.271,0.072,0.286,0.234,0.229,0.059,-0.15,-0.27,-0.037,0.15,0.033,-0.279,0.247,0.184,0.022,0.269,0.235,0.193,0.063,0.261,-0.011,-0.094
fast_k,0.155,0.154,-0.168,-0.325,-0.022,0.046,0.016,0.899,1.0,0.243,0.295,0.254,0.295,0.215,0.284,0.21,0.297,0.069,-0.156,-0.234,-0.06,0.105,0.023,-0.257,0.209,0.085,-0.041,0.176,0.197,0.102,-0.0,0.175,-0.021,-0.087
fore,0.014,0.01,-0.089,-0.105,-0.069,0.002,-0.083,0.124,0.243,1.0,0.304,0.208,0.476,0.153,0.005,0.022,0.027,-0.0,-0.064,-0.077,-0.043,-0.005,0.016,-0.087,0.029,-0.015,-0.041,-0.037,0.028,-0.0,-0.02,-0.026,0.014,-0.023
fore_mv10,-0.095,-0.092,-0.17,-0.258,-0.125,0.103,-0.02,0.327,0.295,0.304,1.0,0.692,0.707,-0.009,-0.028,0.069,-0.034,-0.005,-0.076,-0.154,-0.03,0.032,0.03,-0.141,0.027,-0.016,-0.067,-0.002,0.04,0.008,-0.023,0.015,-0.004,0.005
fore_mv20,-0.118,-0.115,-0.184,-0.282,-0.143,-0.009,-0.004,0.31,0.254,0.208,0.692,1.0,0.479,-0.047,-0.069,-0.002,-0.074,-0.073,-0.118,-0.19,-0.091,0.031,0.002,-0.183,0.058,0.056,-0.003,0.066,0.07,0.081,0.04,0.084,-0.004,-0.041
fore_mv5,-0.051,-0.041,-0.147,-0.2,-0.094,0.068,-0.102,0.271,0.295,0.476,0.707,0.479,1.0,0.017,0.028,0.064,-0.015,0.021,-0.075,-0.123,-0.026,0.055,0.057,-0.117,-0.028,-0.039,-0.072,-0.035,-0.024,-0.018,-0.037,-0.024,0.001,-0.005
inst,0.041,0.031,-0.046,-0.024,-0.048,0.037,0.034,0.072,0.215,0.153,-0.009,-0.047,0.017,1.0,0.373,0.262,0.53,0.063,0.095,0.103,0.06,-0.025,-0.034,-0.025,-0.064,-0.101,-0.092,-0.099,-0.084,-0.112,-0.104,-0.109,0.004,0.044
inst_mv10,0.078,0.08,-0.035,-0.069,0.032,-0.053,0.068,0.286,0.284,0.005,-0.028,-0.069,0.028,0.373,1.0,0.712,0.73,0.072,0.049,0.092,0.042,-0.017,-0.075,-0.115,-0.119,-0.189,-0.207,-0.148,-0.146,-0.221,-0.237,-0.182,-0.0,0.013
inst_mv20,0.039,0.032,-0.05,-0.108,-0.01,0.004,0.018,0.234,0.21,0.022,0.069,-0.002,0.064,0.262,0.712,1.0,0.509,0.123,0.093,0.103,0.099,0.004,-0.091,-0.112,-0.106,-0.236,-0.288,-0.176,-0.126,-0.265,-0.324,-0.201,-0.003,-0.05
inst_mv5,0.088,0.077,-0.059,-0.047,-0.01,0.008,0.084,0.229,0.297,0.027,-0.034,-0.074,-0.015,0.53,0.73,0.509,1.0,0.054,0.075,0.11,0.038,-0.036,-0.088,-0.095,-0.073,-0.156,-0.153,-0.127,-0.1,-0.174,-0.173,-0.151,-0.008,0.059
