,target_shift3,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
target_shift3,0.0,0.057,0.089,0.142,0.068,0.062,0.056,0.179,0.157,0.097,0.261,0.304,0.212,0.189,0.322,0.365,0.298,0.436,0.514,0.562,0.481,0.211,0.479,0.531,0.221,0.301,0.314,0.28,0.268,0.372,0.391,0.342,0.027,0.085
close,0.057,0.0,0.05,0.11,0.025,0.058,0.055,0.186,0.166,0.102,0.298,0.324,0.233,0.203,0.35,0.378,0.331,0.408,0.499,0.553,0.456,0.231,0.477,0.538,0.244,0.31,0.319,0.294,0.296,0.392,0.408,0.365,0.023,0.112
close_mv10,0.089,0.05,0.0,0.036,0.016,0.049,0.039,0.135,0.107,0.071,0.273,0.362,0.172,0.135,0.349,0.372,0.27,0.408,0.466,0.528,0.436,0.232,0.487,0.527,0.238,0.338,0.352,0.31,0.282,0.419,0.452,0.376,0.009,0.065
close_mv20,0.142,0.11,0.036,0.0,0.073,0.025,0.02,0.124,0.109,0.05,0.195,0.33,0.114,0.096,0.277,0.333,0.204,0.406,0.444,0.485,0.427,0.222,0.488,0.502,0.228,0.344,0.376,0.305,0.267,0.416,0.473,0.362,0.008,0.039
close_mv5,0.068,0.025,0.016,0.073,0.0,0.06,0.046,0.166,0.13,0.08,0.304,0.344,0.194,0.161,0.368,0.381,0.313,0.409,0.484,0.545,0.443,0.236,0.48,0.535,0.24,0.325,0.335,0.308,0.287,0.409,0.431,0.378,0.009,0.098
dayofmonth_freq_cos,0.062,0.058,0.049,0.025,0.06,0.0,0.0,0.078,0.07,0.06,0.13,0.046,0.122,0.062,0.109,0.055,0.083,0.0,0.0,0.0,0.0,0.116,0.046,0.028,0.098,0.07,0.021,0.102,0.098,0.076,0.022,0.107,0.0,0.0
dayofmonth_freq_sin,0.056,0.055,0.039,0.02,0.046,0.0,0.0,0.124,0.138,0.097,0.101,0.029,0.118,0.071,0.104,0.052,0.121,0.0,0.0,0.0,0.0,0.067,0.06,0.031,0.062,0.085,0.022,0.089,0.067,0.082,0.024,0.089,0.0,0.0
fast_d,0.179,0.186,0.135,0.124,0.166,0.078,0.124,0.0,0.016,0.096,0.197,0.198,0.167,0.185,0.312,0.334,0.293,0.128,0.133,0.146,0.128,0.172,0.185,0.136,0.14,0.22,0.238,0.199,0.148,0.231,0.266,0.209,0.018,0.147
fast_k,0.157,0.166,0.107,0.109,0.13,0.07,0.138,0.016,0.0,0.136,0.191,0.205,0.178,0.191,0.247,0.284,0.248,0.119,0.12,0.133,0.114,0.174,0.168,0.114,0.167,0.199,0.216,0.191,0.174,0.212,0.245,0.2,0.038,0.134
fore,0.097,0.102,0.071,0.05,0.08,0.06,0.097,0.096,0.136,0.0,0.067,0.046,0.1,0.2,0.121,0.086,0.182,0.073,0.057,0.058,0.061,0.151,0.074,0.084,0.278,0.136,0.066,0.178,0.291,0.148,0.083,0.193,0.059,0.076
fore_mv10,0.261,0.298,0.273,0.195,0.304,0.13,0.101,0.197,0.191,0.067,0.0,0.071,0.065,0.159,0.358,0.291,0.299,0.124,0.217,0.261,0.168,0.242,0.245,0.336,0.344,0.497,0.338,0.486,0.359,0.529,0.384,0.51,0.013,0.162
fore_mv20,0.304,0.324,0.362,0.33,0.344,0.046,0.029,0.198,0.205,0.046,0.071,0.0,0.073,0.136,0.323,0.358,0.249,0.198,0.227,0.281,0.213,0.142,0.337,0.399,0.278,0.457,0.495,0.377,0.297,0.489,0.537,0.405,0.01,0.042
fore_mv5,0.212,0.233,0.172,0.114,0.194,0.122,0.118,0.167,0.178,0.1,0.065,0.073,0.0,0.17,0.263,0.185,0.336,0.119,0.179,0.193,0.158,0.224,0.199,0.255,0.399,0.338,0.189,0.408,0.406,0.363,0.224,0.436,0.028,0.156
inst,0.189,0.203,0.135,0.096,0.161,0.062,0.071,0.185,0.191,0.2,0.159,0.136,0.17,0.0,0.064,0.048,0.079,0.109,0.149,0.162,0.125,0.065,0.156,0.144,0.335,0.224,0.184,0.254,0.319,0.215,0.178,0.239,0.067,0.061
