매매일자,매매구분,종목코드,종목명,체결수량,체결가격(외화),거래통화,환율
,,,,,체결가격(원화),,
2020-10-05,매도,ICLN,ISHARES TRUST GLOBAL CLEAN ENERGY ETF,7,19.54,USD,1162.5
,,,,,"22,715.25",,
2020-10-05,매수,RXT,랙스페이스 테크놀로지,5,18.8,USD,1162.5
,,,,,"21,855.00",,
2020-10-06,매수,VALE,발리(ADR),4,10.83,USD,1156.2
,,,,,"12,521.65",,
2020-10-07,매수,IRDM,이리디움 커뮤니케이션스,2,27.62,USD,1156.2
,,,,,"31,934.24",,
2020-10-07,매도,IBN,ICICI 뱅크(ADR),10,10.605,USD,1156.2
,,,,,"12,261.50",,
2020-10-09,매수,RXT,랙스페이스 테크놀로지,6,18.5,USD,1145.7
,,,,,"21,195.45",,
2020-10-13,매수,TCOM,트립닷컴 그룹(ADR),4,30.5,USD,1144.6
,,,,,"34,910.30",,
2020-11-06,매수,MSP,다또 홀딩,5,31.2,USD,1115.9
,,,,,"34,816.08",,
2020-11-06,매수,SAP,SAP(ADR),1,115.9,USD,1115.9
,,,,,"129,332.81",,
2020-11-19,매도,AJRD,에어로제트 로켓다인 홀딩스,8,36.9,USD,1112.6
,,,,,"41,054.94",,
2020-11-19,매도,MAXR,막서 테르놀로지스,7,27.25,USD,1112.6
,,,,,"30,318.35",,
2020-11-19,매도,SPCE,버진 갤럭틱 홀딩스,7,23.5,USD,1112.6
,,,,,"26,146.10",,
2020-11-24,매도,HDB,HDFC 뱅크(ADR),2,69.9,USD,1104.4
,,,,,"77,197.56",,
2020-11-27,매수,TCOM,트립닷컴 그룹(ADR),3,34.1,USD,1107.1
,,,,,"37,752.11",,
2020-11-27,매수,HD,홈디포,1,275.75,USD,1107.1
,,,,,"305,282.83",,
2020-11-27,매수,MCO,무디스,1,278.6,USD,1107.1
,,,,,"308,438.06",,
2020-12-02,매수,SAP,SAP(ADR),1,122.3,USD,1086.6
,,,,,"132,891.18",,
2020-12-04,매도,VALE,발리(ADR),3,16.09,USD,1084.4
,,,,,"17,448.00",,
2020-12-04,매수,MSP,다또 홀딩,2,27.4,USD,1084.4
,,,,,"29,712.56",,
